first_name,last_name,gnd_id
"Pierre Louis",Dietsch,102419965
Heinrich,Heine,118548018
"Johann Wolfgang von",Goethe,118540238
Hans,Merian-Genast,116905875
Philipp,Kaufmann,116076844
"Michail Jurʹevič",Lermontov,11857194X
Friedrich,Bodenstedt,118512293
"Adolf von",Wilbrandt,118807250
"von Assisi Heiliger",Franz,118534963
Assisias,Leo,100951708
"de Loyola",Ignacio,118555359
Leopoldo,Mililotti,1033471941
Nikolaus,Lenau,118571508
Franz,Oberreich,1249821495
"Ferdinand Fürchtegott",Huber,123759579
Ernst,Knop,1208664603
Philipp,Wolfrum,11863495X
Gustav,Bock,116214295
Friedrich,Schnapp,130601756
Ferencz,"Deák",118671227
Heinrich,Isaac,11855588X
"Karolina K.",Pavlova,118739700
"Marie-Emmanuel Guillaume Marguerite","Théaulon de Lambert",104275618
Pauline,Apel,1303715880
"János László",Pyrker,11874304X
"Julija P.",Samojlova,1019537922
