"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Stadium der Werkgenese,Funktion,"interne Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt (maschinenlesbar),Datierung Kommentar,Datierung Ort nach GND,Ort ermittelt (normiert),GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",,,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,,R 138 | S 472 | D5,Harold en Italie,H-Bn ,Ms. mus. 20,1900 év 21 sz,M. N. Múzeum Könyvtára Kézirait Növedéknapló,,,,,,,,,,"Kl, Fl, Ob, Klar, klTr",,,,,,,,,,"schwarze und rote Tinte, Rötel, Bleistift",,"1 Blatt (2 Seiten Notentext, paginiert (9-10)","Hochformat, 361 x 277 mm, 14 Notenzeilen, handrastriert",,,,,,,,,,,,"dickes, Handgeschöpftes Papier, wurde doppelt gefaltet aufbewahrt und ist an den Rändern nicht zugeschnitten",,"Einzelblatt aus dem Particell zu ""Harold en Italie"", paginiert mit S. 9-10. Auf der Vorderseite ist der Klaviersatz mit den raschen Terzenketten in schwarzer Tinte notiert und wird im letzten Takt des unteren Systems mit roter Tinte gestrichen und korrigiert. Die komplette Seite ist mit Bleistift gestrichen. Auf der Rückseite (10) sind im dritten System als Particell einige Instrumente wie Flöte, Oboe, Klarinette und kleine Trommel (""Timballes"") eingetragen, doch auch diese Seite hat Liszt verworfen und komplett mit Bleistift gestrichen. Die entsprechende Passage hat Liszt sogar zweimal notiert und verworfen (im zweiten und dritten System). Die Paginierung stammt von Liszt selbst.",Anhand der Partitur ließe sich das Blatt möglicherweise wieder in den Kontext reintegrieren,"War der ""Harold"" nicht in Berlin?",wird bestellt (100 Huf pro Scan),DTie,,,,,,Fragment,Fragment (loses Blatt)
,,R 432 | S 114 | G20,Künstlerfestzug zur Schillerfeier,F-Pn,Ms. 159,,Charles Malherbe Conservatoire Nal de Musique Paris,,,,,,Liszt | Fin de l'esquisse pour le | Künstler-Festzug zur Schiller-Feier 1859 | composée en 1857 | Ms. 159,,,,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar, 2 Fg, 4 Hr, 2 Trp, 2 Tpos, Bpos, Tb, Bck, Pk, Vl, Vla, Vlc, Kb)",,,,,,,,,,"schwarze Tinte, Rötel, blauer Stift",,"1 Blatt (2 Seiten Notentext)
weißer Umschlagskarton, 1 Registrierblatt, 3 Schutzblatt","Hochformat, 340 x 267 mm, 30 Notenzeilen, handrastriert,
Umschlagskarton: 385 x 316 mm",,,,,,,,,,,,"Blatt an den Rändern stark abgenutzt und teilweise geknickt, dunkle Verfärbung am unteren Rand
ein hinteres Schutzblatt ist ebenfalls ein Registerblatt, dort steht Paër | (Ferdinand), mit rotem Stift gestrichen",,"Fragment mit dem Schluss der Künstlerfeier, Notentext auf der Recto-Seite noch relativ sauber mit schwarzer Tinte notiert, mit wenigen Strichen mit Tinte und blauem Stift sowie Zusätzen mit Rötel. Auf der Verso-Seite jedoch starke Überarbeitungsspuren und Strich der letzten sieben Takte mit Tinte und blauem Stift. Zuvor Korrektur von zwei Einzelstimmen: Celli (am Ende der Notation hinter dem Doppelstrich) und Pauken (auf frei gezogenen Linien am rechten Rand). Das Ende ist mit ""Fine"" bezeichnet, jedoch fraglich, ob es sich um die Endfassung handelt, da die letzten Takte ja gestrichen sind.","Seltsames Manuskript, ""hängt"" etwas in der Luft; müsste mit dem Digitalisat noch einmal genau zugeordnet werden.",Titelei: von fremder Hand (Archivar) mit Bleistift geschrieben,https://catalogue.bnf.fr/ark:/12148/cb41480949s,DTie,"Bnf: Description matérielle : 1 partition (1 f.) ; 34 x 27 cm
Note(s) : Ne comprend que les 49 dernières mesures (les mesures 43 à 49 sont raturées). - Manuscrit de travail à l'encre noire avec corrections à l'encre noire et au crayon bleu et rouge (nombreuses ratures). - Daté d'après Grove 7
Référence(s) : Michael Saffle, ""Liszt manuscripts in Paris : a preliminary survey"", in ""Liszt and his world"", Stuyvesant : Pendragon, 1998",,,,,Fragment,Arbeitsmanuskript (Fragment)
,,R 655 | S 347 | P2,Vor hundert Jahren,F-Pn,Ms. 160,,Charles Malherbe Conservatoire Nal de Musique Paris,,,,,,Liszt | ? Introduction pour le | Künstler-Festzug zur Schiller-Feier 1859 < inédit ? | Ms. 160,,Einleitung - [Fest-Spiel Schillerfeier],schwarze Tinte,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in Des, 2 Fg, 2 Hr in F, 2 Trp in F, 2 Tpos, Bpos, [klTr], Pk, Vl, Vla, Vlc, Kb)",,,,,,,,,,"schwarze Tinte, blauer Stift",,"2 Blatt zu 1 Bogen (4 Seiten Notentext)
weißer Umschlagskarton, 1 Registrierblatt, 2 Schutzblatt","Horchformat, 350 x 265 mm, 32 Notenzeilen, gedruckt (?),
Umschlagskarton: 391 x 314 mm",,,,,,,,,,,,"Blatt am unteren Rand stark verfärbt, Knickfalte rechts unten",,"Fragment bzw. Arbeitsmanuskript Liszts zur ""Einleitung"", laut Saffle eher von ""Vor hundert Jahren"" als zur Künstlerfeier, wie auf der Quelle vermerkt. Notation wird aufgrund der hohen Anzahl der Notenlinien etwas ""unruhig"", ist aber relativ sauber ausgeführt und weist nur wenige Striche und Rasuren auf. Der Notentext ist mit schwarzer Tinte geschrieben, Zusätze wie Dynamik oder Tempo fehlen vollständig. Ober auf Blatt 2r Korrektur der Piccolo-Stimme auf über den Notenzeilen freihändig gezogenen Linien. Am Schluss notier Liszt einen Hinweis auf Blatt 2r unter dem ersten System: ""NB. in Ermangelung der Militär Trommel übernimmt die Pauke auf H - diese 8 takte"". Der erste Schluss ist mit blauem Stift gestrichen (Blatt 2r, zweites System) und auf der Recto-Seite findet sich die Variante des Schlusses, in dem Liszt mit blauem Stift noch Artikulationszeichen im Streichersatz einträgt. Außerdem vermerkt er das ""Vorhang auf"" über dem synkopischen Streichersatz in Takt 2 auf der letzten Seite der Quelle.","Seltsames Manuskript, ""hängt"" etwas in der Luft; müsste mit dem Digitalisat noch einmal genau zugeordnet werden.","Titelei: von fremder Hand (Archivar) mit Bleistift geschrieben
Kopftitel: Einleitung mit Tinte von Liszt, der Rest mit Bleistift von fremder Hand",https://gallica.bnf.fr/ark:/12148/btv1b55007806t,DTie,,,,,,Fragment,Arbeitsmanuskript (Fragment)
,,R 589 | S 298 | N18/3,Oh Lieb,F-Pn,Ms. 168,,Charles Malherbe Conservatoire Nal de Musique Paris,,,,,,,,,,Kl,,,,,,,,,,schwarze Tinte,,"1 Blatt (1 Seite Notentext, 1 Leerseite)
weißer Schutzumschlag","Hochformat, 315 x 221 mm, 22 Notenzeilen, handrastriert,
Umschlag: 370 x 297 mm",,,,,,,,,,,,sehr dickes Papier mit ziemlich unregelmäßiger Rastrierung,laut Saffle Ms. 168Bis (zweite veröffentlichte Version),"Fragmentarische Reinschrift von ""O Lieb"". Im Gegensatz zu Saffle, der die Besetzung mit Gesang und Klavier angibt, ist hier nur die Klavierstimme, ohne Korrekturen und Rasuren, vorhanden. Notiert sind 14 Takte Notentext, beginnend in E-Dur, die bekannten Achtel-Arpeggien der linken Hand brechen nach Takt 12 ab und machen einem nachschlagenden Akkord-Satz, mit ""colla parte"" bezeichnet, Platz. Das Fragment endet auf einer Generalpause/Fermate.","Müsste mit dem Digitalisat identifiziert werden
",,"[nicht vorhanden? muss bestellt werden, unter Ms 168 finden sich drei andere Digitalisate, s. Link]
photographiert, jedoch mit ""Handy-Schatten""",DTie,https://catalogue.bnf.fr/affiner.do?motRecherche=Liszt+MS-168&listeAffinages=FacGenMus_li+&afficheRegroup=false&trouveDansFiltre=NoticePUB&nbResultParPage=10&triResultParPage=0&critereRecherche=0,,,,,Fragment,
,,-,[Fragment],F-Pn,Ms. 174,,Conservatoire Nal de Musique Paris,,Albumblatt,,,,,,,"Über den Noten ist mit schwarzer Tinte von fremder Hand geschrieben: ""fragment de musique écrit par Liszt. Donné à Charles | par Cl. Kl. [?]"", links noch einmal ""Liszt""",Kl,,,,,,,,,,"schwarze Tinte, Bleistift",,"2 Blatt zu 1 Bogen (2 Seiten Notentext, 2 Leerseiten)","Querformat, 219 x 262 mm, 8 Notenzeilen, handrastriert",,,,,,,,,,,,"Bogen ist unten schief zugeschnitten und weit zudem auf der zweiten Seite einenca 22,5 cm lange Einschnitt auf (Vorbereitung einer dann doch nicht angefertigten Überklebung?)",,"Fragment(e) von Liszt mit schwarzer Tinte flüchtig ausgeführt. Auf der ""linken"" Seite Akkordzerlegungen in Achtel in der linken Hand sowie eine rasche Spielfigur in 32tel in der rechten (Tonumspielungen, aufsteigende Terzfigur sowie gebrochener verminderter Septnonenakkord von A). Große Sprünge über gesamte Tastatur in Zeile drei (Ton A in mehreren Oktaven), zum Ende hin Beruhigung hin zu Vierteln. Diese sind mit Bleistift mit einer Oktavierung versehen (""8 --- loco""). Auf der ""rechten"" Seite jeweils Achtelakkord und in Sechzehntel sich aufeinander zubewegende Arpeggien beider Hände (3 Takte, G-Dur und verm Septakkord von D).","Handgeschöpftes Papier, in der Mitte des Bogens ist als Wasserzeichen ""Cusson"" zu lesen
Saffle (Paris, S. 127) listet Empfänger Charles (Malherbe) auf uns gibt Transkription der ersten Spielfigur)","Kopftitel: Über den Noten ist mit schwarzer Tinte von fremder Hand geschrieben: ""fragment de musique écrit par Liszt. Donné à Charles | par Cl. Kl. [?]"", links noch einmal ""Liszt""",https://gallica.bnf.fr/ark:/12148/btv1b550072716,DTie,,,,,,Fragment,
,,R 654 | 346,Leonore / Der Bräutigam,F-Pn,Ms. 187,,Charles Malherbe Conservatoire Nal de Musique Paris,,,,,,,,,,"Sprecher, Kl",,,Deutsch,Der Bräutigam nicht fehlen - O Mutter was ist Seligkeit | O Mutter was ist Hölle,,,,,,"schwarze Tinte, blauer Stift, Bleistift",Dr (Bleistift),"5 Blatt zu 4 Bogen und 1 Einzelblatt (10 Seiten Notentext, teilfoliiert)","Hochformat, 255 x 172 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,"Bogen (nicht das Einzelblatt) an rechtem und linkem Rand gefalzt, dazwischen die Rastrierung",,"Saubere ""Reinschrift"" einer früheren Version von Liszt mit nur wenigen Korrekturen und Rasuren. Quelle ist jedoch unvollständig, es fehlt der Beginn (auch ersichtlich an der auf fol3v verwendeten Abbreviatur E-F, die auf eine frühere Verwendung von A-D schließen lässt). Im Vergleich mit dem Druck lassen sich noch wenige Änderungen zu dieser Quelle ausmachen. Noten- und Rezitationstext mit schwarzer Tinte geschrieben, wenige Hinzufügungen wir das Tempo (""All° agitato assai) sowie die Generalvorzeichnungen mit 3# auf Blatt 4v mit Bleistift nachgetragen. Ebenso sporadisch die Hinzufügungen mit blauem Stift (Streichung der letzten drei Takte des fünften Systems auf Blatt 1r, Einrahmung/Oktavierung (?) am Ende des zweiten Systems auf Blatt 3v, Oktavierung im zweiten System auf Blatt 4r sowie der nur schwach lesbare Hinweis zu beiden Schlusstakten auf Blatt 5v, ""8ttava tiefer"". Des Weiteren weist die Quelle einige Korrekturen des Textes sowie Striche durch Liszt mit schwarzer Tinte auf: so sechs Takte auf Blatt 2r, das erste System auf Blatt 4r (auch mit Bleistift am Ende) und Striche von zwei Schlussvarianten auf der letzten Seite (Blatt 5v) auf. Sehr sporadische Bleistiftzahlen (1-13) von fremder Hand lassen auf eine Stichvorlage schließen.","Notentext müsste mit Edition abgeglichen werden (GA VII/3); Quelle beginnt mit der letzten Zeile von S. 4 (150) des Drucks; Abweichung zum Druck bei ""was klang dort"", Blatt 2v; Schlussakkorde sind harmonisch, nicht aber rhythmisch ident (vgl. Druck S. 16 (162)",,https://gallica.bnf.fr/ark:/12148/btv1b550064633,DTie,https://s9.imslp.org/files/imglnks/usimg/b/bd/IMSLP60409-PMLP10850-Liszt_Musikalische_Werke_7_Band_3_104.pdf,,,,,Fragment,(fragmentarische) Stichvorlage
,,,[Harfenpartie des Erkönigs],D-BHna,Hs 121 A/4,,Archiv Richard Wagner Gedenkstätte Bayreuth,,,,x,,,,Harfen Parthie zu des Erlkönigs,schwarze Tinte,Hrf,,,,,,,,,,"schwarze Tinte, roter und blauer Stift",,"1 Blatt (verso), 1 Seite Notentext","Querformat, 263-267 x 349 mm, 17 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Fragmentarisches Skizzenblatt mit insgesamt fünf verschiedenen musikalischen Keimzellen bzw. Begleitstrukturen. Der Notentext ist komplett mit schwarzer Tinte geschrieben. 1) rechts neben dem ""Titel"", ""Harfen Parthie des Erkönigs"", findet sich eine zweifach notierte Akkordverbindung (Schlüssel fehlt, wohl E nach H), zunächst nur als Akkordverbindung, direkt darunter mit Auflösung der Oberstimme in eine Achtelbewegung. 2) Hier steht im zweiten System die erste Harfenbegleitung mit alternierenden Achtelakkorden zwischen linker und rechter Hand (B-Dur), dazu schreibt Liszt mit Tinte: ""die rechte etwas stärker als die linke und dem Gesang sich anschmiegend"". 3) Drei Notenzeilen, zunächst die in Oktaven geführte Melodiestimme, komplett mit Tinte gestrichen, darunter wohl die analoge Harfenbegleitung mit Bassoktaven und Akkordzerlegungen in Achteltriolen. Der erste Takt ist mit rotem Stift gestrichen, Generalvorzeichen sind aufgelöst. 4) Es-Dur-Vorzeichnung, Viertelarpeggien über die ganze Harfe, linke und rechte Hand abwechselnd, alles mit schwarzer Tinte gestrichen. 5) Auf der ""zwei"" nachschlagende Akkordarpeggien in beiden Händen, Es-Dur-Vorzeichnung bleibt, Liszt ergänzt mit blauem Stift Bass- und Violinschlüssel in der unteren Stimme sowie zwei Vorzeichen im Bass. ","Ungewöhnlich für Liszt ist, wie ""einsam"" diese Harfen-Begleitung notiert ist, es gibt weder Verweis, wo sie eingefügt werden soll, noch einen Hinweis auf den Gesang.",,"Photographiert, Digitalisat wird angefragt",DTie,,,,,,Fragment,Arbeitsmanuskript / Fragment
,,[S 279],Der Du von dem Himmel bist,D-BHna,Hs 121 A/5,,Richard Wagner Gedenkstätte Bayreuth,,,,,,,,,,"Singst, Kl",,,,[...] müde und was soll all der Schmerz all der Schmerz und Lust,,,,,,schwarze Tinte,,1 Blatt (2 Seiten Notentext),"Hochformat, 341 x 267 mm, 13 Notenzeilen, handrastriert",,,,,,,,,,,,"graues Papier, in der Mitte quer gefaltet aufgewahrt, weist relativ viele hellbraune Flecken auf
Papier ist am rechten und linken Rand für die Positionierung der Rastrierung gefalzt",,"Eine etwas merkwürdige Quelle zu ""Wanderers Nachtlied"". Liszt notiert zunächst das sechstaktige Klaviervorspiel (welche Version?) bis zur Generalpause, ohne Korrekturen. Darunter folgen zwei Takte der absteigenden Vokallinie, ""sol all der Schmerz"", die jedoch gestrichen sind. Im dritten System setzt die Niederschrift mitten im Lied fort, ohne dass Liszt einen Hinweis zur Positionierung dieses Anfangs im gesamten Stück gäbe. Klavierbegleitung und Gesang sind im weiteren Verlauf nahezu ohne Korrekturen in Reinschrift ausgeführt. Die ersten beiden Takte des untersten Systems entsprechen dabei dem im zweiten System gestrichenen Notentext (evtl. hatte Liszt die beabsichtigte Notation der Musik des dritten Systems vergessen einzutragen?). Auf der Verso-Seite setzt die gebrochene Akkordbegleitung mit Daumenmelodie der linken Hand ein, die auch der Druckversion entspricht (s. dort S. 5/33). Der weitere Verlauf weicht jedoch wieder geringfügig von diesem ab. Ungewöhnlich ist auch, dass Liszt die Singstimme im ersten und zweiten System teilweise untextiert lässt und zwei Takte lang (2. System, T. 2-3) sogar zweistimmig notiert, ohne dass er eine Ossia-Variante anzeigt. Das Ende nach dem Doppelstrich ist ohne Datierung oder Signatur.","Merkwürdige Quelle, es beginnt mit dem ""Incipit"" der Klavierbegleitung (welche Version?) und ""springt"" dann zur Mitte des Stücks, von wo aus es bis zum Ende nahezu ohne Korrekturen niedergeschrieben ist.",,"Photographiert, Digitalisat wird angefragt",DTie,https://vmirror.imslp.org/files/imglnks/usimg/9/90/IMSLP59533-PMLP11959-Liszt_Musikalische_Werke_7_Band_1_4.pdf,,,,,Fragment,fragmentarische Reinschrift (?)
,,R 223,Illustrations du Prophète (Nr. 3 Pastorale),A-Wn,Mus.Hs.8994,interne Signatur: A/Liszt/9,Musiksammlung Österr. Nationalbibliothek,,,,,,,,,,Kl,Andante pastorale,,,,,Weimar 19. pril 1850. [Joachim Raff 118597779],1850-04-19,Weimar,4065105-8,"schwarze Tinte, Rötel, Bleistift",,"2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert)","Querformat, 274 x 346-349 mm, 20 Notenzeilen, handrastriert,
brauner Umschlag: 284 x 363 mm",,,,,,,,,,,,"Bogen ist unsaumer zusammengelegt, bzw. in such schief geschnitten, daher Überlappunen an den Enden. Quelle wurde mindestens dreimal gefaltet (einmal quer, zweimal längs) und weist oben auf S. 2 eine Überklebung auf",,"Ausschnitt aus einem Autograph der Pastorale aus Le Prophère. Oben recht auf der ersten Seite vermerkt Raff mit Tinte: ""Autograph von Dr. Franz Liszt. | Für die Sammlung des H. Otto Ingkermann | in Cöln abgegeben durch | Weimar 19. April 1850. Joachim Raff."" Darunter ist ein roter Siegellackklecks, der evtl. auf die Bestätigung der Sendung oder anderes hindeuten könnte, es ist keine Überklebung hier fixiert worden. Bei der Tempoangabe setzte Liszt das ""pastorale"" nachträglich mit braunem Stift hinzu. Der Notentext ist mit schwarzer Tinte geschrieben und weist viele Korrekturen und Rasuren auf. Für die rechte Hand notiert Liszt sogleich eine Ossia-Fassung direkt darunter. Überklebung des ersten Systems auf S. 2 und neue Version mit schwarzer Tinte (41 x 341 mm, 2 Notenzeilen. Oktavierungen sind nachträglich auf S. 2 und 3 mit Bleistift hinzugefügt worden. Strich der ersten beiden sowie des vierten Systems auf S. 3. Ebenso drei weitere Striche (jeweils ein Takt in den ersten beiden Systemen und zwei zum Ende vom vierten System). Das Manuskript endet abrupt mit Ende des Bogens, gehört damit möglicherweise zu einem größeren Komplex.",Nur erster Bogen eines größeren Manuskriptes - wo befindet sich der Rest?,"Titelei: FRANZ LISZT | ORIGINAL AUTOGRAPH MANUSCRIPT | MUSIC SCORE FOR PIANO DUET | FROM THE COLLECTION OF | JOACHIM RAFF        
Schutzumschlag, nicht eigentlich der Quelle zugehörig (denke ich); braunes Leder(imitat?) und goldene Lettern",https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_3765919,DTie,Autograph ist in einer aufwändigen Ledermappe mit Einschlag aufbewahrt,,,,,Fragment,Arbeitsmanuskript (Fragment/Ausschnitt)
,,R 596a | S 281/1 | N11/1,Oh! Quand je dors,US-Wc,,noch ohne Signatur / noch nicht verzeichnet,,,,,,,,,,,"Singst, Kl",,,,"Puis sur ma lèvre où voltige une flamme | Auf meine Lippe[,] die umspielt eine Flamme",,,,,,schwarze Tinte,,1 Blatt (2 Seiten Notentext),"Querformat, 197 x 332 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,Der obere Rand des Blattes ist abgeschnitten.,,Das Autograph ist unvollständig und enthält nur den dritten Vers. Liszt nimmt nur minimale Korrekturen vor.,,ca. 1844,,BV,,,,,,Fragment,
,,R 606 | S 296 | N31,Ich möchte hingehen,US-Wc,,noch ohne Signatur / noch nicht verzeichnet,,,,,,,,,,,"Singst, Kl",,,,Ich möchte hingehen wie der Thau im Thal,,,,,,schwarze Tinte,,"1 Blatt (2 Seiten Notentext, paginiert (S. 3-4)","Querformat, 194 x 332 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,Der obere Rand des Blattes ist abgeschnitten.,,"Das Autograph ist unvollständig, das erste Blatt fehlt und mindestens ein weiteres am Ende. Es beginnt mit Seite 3 und der vierten Strophe ""Ich möchte hingehen wie der Thau im Thal"". Enthalten sind nur die Strophen 4-5 und ein Großteil der Strophe 6.
- S. 3: Es kommen einige Rasuren im ersten Notensystem vor, zudem streicht Liszt den letzten (unvollständigen) Takt im dritten und die drei letzten Takte im vierten System.
- S. 4: Liszt streicht das zweite Notensystem.",,ca. 1845,,BV,,,,,,Fragment,
,,R 612 | S 320 | N62,Die Drei Zigeuner,US-Wc,,noch ohne Signatur / noch nicht verzeichnet,,,,,,,,,Die drei Zigeuner.,,"Singst, Kl",,,,,,,,,,"schwarze Tinte, blauer Stift, Bleistift",,1 Blatt (2 Seiten Notentext),"Querformat, 270 x 348 mm, 17 Notenzeilen, handrastriert",,,,,,,,,,,,Der obere Rand des Blattes ist abgeschnitten. Oberhalb der letzten drei Notenzeilen ist das Manuskript quer durchgebrochen und notdürftig mit kleinen Papierstreifen wieder zusammengeklebt.,,"Das Autograph ist unvollständig, es enthält den Beginn der Komposition bis einschließlich der ersten Hälfte der dritten Strophe: ""Hielt der zweite die Pfeif im Mund, Blickte nach seinem Rauche"". 
Gravierende Änderungen nimmt Liszt nur auf der ersten Seite vor. Im zweiten System, noch in der Klaviereinleitung, streicht Liszt die ersten beiden Takte, wobei er den ersten Takt zunächst in der Notenzeile darüber ersetzt, die Ersetzung jedoch ebenfalls ausstreicht und den Takt anschließend in der Notenzeile unterhalb des Systems neu schreibt, der zweite Takt bleibt ersatzlos gestrichen (schwarze Tinte). Im dritten System streicht Liszt ersatzlos Takt 1 und die erste Zählzeit von Takt 2, die durch eine Pause ersetzt wird. Den ersten Ansatz zur Komposition des Verses ""als mein Fuhrwerk mit müder Qual"" streicht Liszt wieder (viertes System, T 1-4). Daher setzt der Notentext nach dem dritten System unmittelbar mit dem fünften fort. Liszt kennzeichnet dies mit einer Linie, die den letzten Takt aus der dritten Notenzeile direkt mit dem ersten Takt im fünften System (blauer Stift, schwarze Tinte). Auch den ersten Ansatz zum anschließenden Vers ""schlich durch sandige Heide"" streicht Liszt wieder (T 5-8), den Vers komponiert er in Anschluss an die gestrichenen Takte im vierten System (schwarze Tinte). Den Beginn dieser Passage verbindet er durch eine Linie entsprechend mit Takt 4 im fünften System (blauer Stift). Den letzten Takt der Passage verbindet er mit dem nicht gestrichenen Takt 9 im fünften System (schwarze Tinte).
Auf der zweiten Seite kennzeichnet Liszt im ersten und zweiten System die Takte zweier Passagen im Klavierpart mit Zahlen (1-2) bzw. Buchstaben (A-D) , um sie wiederholen zu können, ohne sie noch einmal ausschreiben zu müssen. Die Wiederholungen finden sich im zweiten bzw. dritten Sytem. Im zweiten System streicht Liszt die letzten beiden Takte (schwarze Tinte). In Takt 3 des untersten Systems streicht Liszt in der rechten Hand des Klaviers einen Teil der Noten und ersetz sie unmittelbar darunter (blauer Stift). ",Unvollständig.,ca. 1860,,BV,,,,,,Fragment,
,,R 217/4 | S 547/4 | A72/4,Neue Liebe,US-Wc,ML31 .H43a no. 110,,,,,,,,,,Neue Liebe,schwarze Tinte,Kl,Presto,,,,,,,,,"schwarze Tinte, Rötel",,"2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert (S. 26-29) ","Hochformat, 346 x 255 mm, 14 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Das Autograph ist ein Fragment. Die Paginierung beginnt mit ""26"", vermutlich enthalten die 25 nicht unter der Signatur vorhandenen 25 Seiten, die Lieder eins bis drei der ""Mendelssohns Lieder"". Auch ist das Lied ""Neue Liebe"" in dem Autograph nicht vollständig, es endet mit Takt 115 des Liedes; es fehlen die Takte 116 bis 138.
Liszt nimmt nur wenige Korrekturen vor.
- S. 26: In der sechsten Akkolade nummeriert Liszt die Takte 2 bis 5 mit den Ziffern 1 bis 4, um sie in der folgenden Akkolade unter Angabe nur dieser Ziffern zu wiederholen, ohne sie erneut notieren zu müssen (schwarze Tinte, Rötel).
- S. 27: In der zweiten Akkolade ist Takt 5 gestrichen (schwarze Tinte). In der dritten Akkolade ist ein Takt vor der dritten Akkolade auf den linken Seitenrand geschrieben, außerdem ist die rechte Hand vollständig gestrichen und in der freien Notenzeile zwischen zweiter und dritter Akkolade neu geschrieben (schwarze Tinte).
- S. 28: In der dritten Akkolade sind die Takte 1 bis 3 mit den Ziffern 1 bis 3 versehen, um sie unter Angabe lediglich der Ziffern in der folgenden Akkolade zu wiederholen (schwarze Tinte, Rötel). In der sechsten Akkolade schreibt Liszt den Notentext über die Rastrierung hinaus auf dem rechten Seitenrand weiter.
- S. 29: Außer in der dritten Akkolade schreibt Liszt den Notentext über die Rastrierung hinaus auf dem rechten Seitenrand weiter.",,,https://hdl.loc.gov/loc.music/musliszt.100011,BV,,,,,,Fragment,
,,R 538 | S 350a | L12,"Trio für Klavier Violine und Cello, op. 97, Einleitung. (von Beethoven)",US-Wc,ML 30 .S65a No. 12,,,,,,,,,,Einleitung,schwarze Tinte,Kl,Andante molto sostenuto,,,,,,,,,schwarze Tinte,,"1 Blatt (1 Seite Notentext, 1 Leerseite)","Querformat, 226 x 262 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,"Auf der Rückseite war das Blatt mit an den Rändern mit Klebestreifen versehen, die inzwischen wieder entfernt sind. Deren verbliebener Klebstoff hat auf die Vorderseite durchgeschlagen.",,"Das Autograph ist ordentlich geschrieben und enthält keine Korrekturen. Auf die 11 von Liszt hinzukomponierten Einleitungstakte (erste Akkolade), folgt in der zweiten Akkolade der Beginn des 3. Satzes des Trios. Liszt notiert im Anschluss daran den Hinweis ""und so weiter, das ganze Andante des Beethoven'schen Trio (op. 97) bis zu den Schluss Takten"". Mit der dritten, die Schlusstakte des Satzes enthaltenden Akkolade schließt das Autograph ab.","Dem Autograph liegt ein Portrait von Liszt bei (Zeichnung, Aquarell), das nicht zeitgenössisch ist. Es stammt von dem ungarischen Maler [Franz Revesz-Ferryman 1349673188] (1893-1947). ",,https://hdl.loc.gov/loc.music/musliszt.100616,BV,,,,,,Fragment,
,,"R 105b,13 | S 242,13",Rákóczi-Marsch (leichtere Version),H-Bn ,Ms. mus. 22,,,,,,x,,,,Andere leichtere Version,schwarze Tinte,Kl,,,,,,,,,,"schwarze Tinte, Rötel",,1 Blatt (2 Seiten Notentext),"Querformat, 270 x 400 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Beginn der leichteren Version, Notentext ist mit schwarzer Tinte geschrieben und sogleich für die Wiederholung durchgezählt (1-8). Auf der Rückseite findet sich das Trio, das am Ende der Seite jedoch abbricht. Die letzte Zeile trägt die Nummerierung I-X sowie ganz am Ende ein Verweiszeichen mit dem Hinweis ""vi"". Damit bricht die Notation an dieser Stelle ab.",,"Es müsste geklärt werden, worauf sich das ""vi"" bezieht; wohl nicht auf die entsprechende ""de""-Stelle, zu Beginn des Trios der virtuosen Version?",wird angekauft,DTie,,,,,,Fragment,Arbeitsmanuskript (Fragment)
