WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
R 430 | S 113 | G28,631,,,,,,,
R 430 | S 113 | G28,632,,,,,,,
R 430 | S 113 | G28,633,,,,,,,
R 430 | S 113 | G28,634,,,,,,,
R 430 | S 113 | G28,635,,,,,,,
R 430 | S 113 | G28,636,,,,,,,
R 430 | S 113 | G28,637,,,,,,,
R 484,638,,,,,,,
R 522 | S 64 | J49,639,,,,,,,
R 149 | S 484 | A170,640,,,,,,,
R 149 | S 484 | A170,641,,,,,,,
R 149 | S 484 | A170,642,,,,,,,
R 149 | S 484 | A170,643,,,,,,,
R 149 | S 484 | A170,644,,,,,,,
R 149 | S 484 | A170,645,,,,,,,
R 149 | S 484 | A170,646,,,,,,,
R 149 | S 484 | A170,647,,,,,,,
R 149 | S 484 | A170,648,,,,,,,
R 149 | S 484 | A170,649,,,,,,,
R 149 | S 484 | A170,650,,,,,,,
R 149 | S 484 | A170,651,,,,,,,
R 149 | S 484 | A170,652,,,,,,,
R 149 | S 484 | A170,653,,,,,,,
R 149 | S 484 | A170,654,,,,,,,
R 149 | S 484 | A170,655,,,,,,,
R 149 | S 484 | A170,656,,,,,,,
R 149 | S 484 | A170,657,,,,,,,
R 149 | S 484 | A170,658,,,,,,,
R 149 | S 484 | A170,659,,,,,,,
R 149 | S 484 | A170,660,,,,,,,
R 149 | S 484 | A170,661,,,,,,,
R 149 | S 484 | A170,662,,,,,,,
R 149 | S 484 | A170,663,,,,,,,
R 149 | S 484 | A170,664,,,,,,,
R 149 | S 484 | A170,665,,,,,,,
"R 382,R 409,R 401,R 400,R 407",666,,,,,,,
R 382 | S 673 | E17,667,,,,,,,
R 409 | S 677 | F2,668,,,,,,,
R 401 | S 659 | E14,669,,,,,,,
R 400 | S 658 | E15,670,,,,,,,
R 407 | S 676 | E10,671,,,,,,,
R 442 | S 355 | G30,672,,,,,,,
R 432 | S 114 | G20,673,,,,,,,
R 487 | S 11 | I9,675,,,,,,,
R 487 | S 11 | I9,676,,,,,,,
R 487 | S 11 | I9,677,,,,,,,
R 487 | S 11 | I9,678,,,,,,,
R 487 | S 11 | I9,679,,,,,,,
R 667 | S 690 | Q1,680,,,,,,,
R 667 | S 690 | Q1,681,,,,,,,
R 667 | S 690 | Q1,682,,,,,,,
,683,,,,,,,
R 357 | S 635 | C9,684,,,,,,,
R 358 | S 636 | C10,685,,,,,,,
R 361 | S 639 | C14,686,,,,,,,
R 363 | S 641 | C7,687,,,,,,,
R 364 | S 642 | C15,688,,,,,,,
R 489 | S 13 | I3,689,,,,,,,
R 490 | S 14 | I5,690,,,,,,,
R 491 | S 15 | J10,691,,,,,,,
R 491a | S 15bis | -,692,,,,,,,
R 563 | S 93 | L17,693,,,,,,,
R 563 | S 93 | L17,694,,,,,,,
R 563 | S 93 | L17,695,,,,,,,
"R 106,18 | S 244 | A132",696,,,,,,,
"R 106,18 | S 244 | A132",697,,,,,,,
R 389 | S 672c/5 | E30,698,,,,,,,
R 473 | S 378i | D15,699,,,,,,,
S 160/4bis | A159/4 ,700,,,,,,,
,701,,,,,,,
S 700f | Q4 ,702,,,,,,,
,703,,,,,,,
R 492b | S 16/2 | J45,704,,,,,,,
"R 560,9 | S 89a/7 | M8",705,,,,,,,
,706,,,,,,,
R 508 | S 19 | J2,707,,,,,,,
R 509 | S 63 | J46,708,,,,,,,
R 509 | S 63 | J46,709,,,,,,,
R 509 | S 63 | J46,710,,,,,,,
R 509 (?),711,,,,,,,
R 492a | S 16/1 | K6,712,,,,,,,
R 534 | S 504a | A287,713,,,,,,,
R 138 | S 472 | D5,714,,,,,,,
R 2a/1 | S 137 | A39,715,,,,,,,
R 467b | S 132 | D16b,716,,,,,,,
R 538 | S 68 | L12,717,,,,,,,
(R 415 | S 98 | G9) S 167d,718,,,,,,,
(R 3a / 4),719,,,,,,,
R 421 | S 104 | G22,720,,,,,,,
R 492a | S 16/1 | K6,721,,,,,,,
R 557f | S 87 | L10,722,,,,,,,
R 2a/7 | S 137 | A39,723,,,,,,,
"R 106,2 | S 244 | A132",724,,,,,,,
"R 17,2 | S 175 | A219",725,,,,,,,
R - | S 306a | N13,726,,,,,,,
"R 106,18 | S 244 | A132",727,,,,,,,
R 632 | S 336 | N77,728,,,,,,,
R 64/1,729,,,,,,,
"R 64,1 (?) | S 164",730,,,,,,,
"R 106,15 | S 244 | A132",731,,,,,,,
"[R 106,15]
R 105b/13",732,,,,,,,
R 194 + R 640,733,,,,,,,
R 194 | S 545 | A308,734,,,,,,,
R 640 | S 341 | K8,735,,,,,,,
R 493 | S 17 | K2 ,736,,,,,,,
R 493 | S 17 | K2 ,737,,,,,,,
R 493 | S 17 | K2 ,738,,,,,,,
"R 482,1 | S 6 | L15",739,,,,,,,
R 482 | S 6 | L15,740,,,,,,,
R 537 | S 67 | L1,741,,,,,,,
R 538,742,,,,,,,
R 5 | S 144 | A118,743,,,,,,,
R 5 | S 144 | A118,744,,,,,,,
R 5 | S 144 | A118,745,,,,,,,
R 5 | S 144 | A118,746,,,,,,,
R 269 | S 436 | A276,747,,,,,,,
R 427 | S 110 | G16,748,,,,,,,
R 419 | S 102 | G4,749,,,,,,,
R 432 | S 114 | G20,750,,,,,,,
R 57a | S 174 | A186,751,,,,,,,
R 430 | S 113 | G28,752,,,,,,,
R 429 | S 112/1 | G25,753,,,,,,,
R 646 | S 373 | EM -,754,,,,,,,
R 655 | S 347 | P2,755,,,,,,,
R 655 | S 347 | P2,756,,,,,,,
R 495a | S 46/1,757,,,,,,,
,758,,,,,,,
R 518b (?) | S 21/1,759,,,,,,,
R 14/8 | S 173/8,760,,,,,,,
R 533 | S 24,761,,,,,,,
R 643 | S 343 | K7,762,,,,,,,
R 587 | S 307 | N18/1,763,,,,,,,
R 589 | S 298 | N18/3,764,,,,,,,
R 622 | S 329,765,,,,,,,
R 15 | S 170,766,,,,,,,
R 49 | S 228,767,,,,,,,
,768,,,,,,,
R 591a | S 273/1,769,,,,,,,
R 424 | S 107,770,,,,,,,
R 499 | S 34/2,771,,,,,,,
R 391 | S 664,772,,,,,,,
R 391 | S 261,773,,,,,,,
R 654 | 346,774,,,,,,,
,775,,,,,,,
R 71 | S 186 | A267,776,,,,,,,
R 71 | S 186 | A267,777,,,,,,,
R 71 | S 186 | A267,778,,,,,,,
R 71 | S 186 | A267,779,,,,,,,
R 71 | S 186 | A267,780,,,,,,,
R 71 | S 186 | A267,781,,,,,,,
R 71 | S 186 | A267,782,,,,,,,
R 71 | S 186 | A267,783,,,,,,,
R 71 | S 186 | A267,784,,,,,,,
R 71 | S 186 | A267,785,,,,,,,
R 71 | S 186 | A267,786,,,,,,,
R 71 | S 186 | A267,787,,,,,,,
R 307 | S 613 | B43,788,,,,,,,
R 307 | S 613 | B43,789,,,,,,,
R 307 | S 613 | B43,790,,,,,,,
R 307 | S 613 | B43,791,,,,,,,
R 307 | S 613 | B43,792,,,,,,,
R 307 | S 613 | B43,793,,,,,,,
R 307 | S 613 | B43,794,,,,,,,
R 307 | S 613 | B43,795,,,,,,,
R 307 | S 613 | B43,796,,,,,,,
R 307 | S 613 | B43,797,,,,,,,
R 307 | S 613 | B43,798,,,,,,,
R 307 | S 613 | B43,799,,,,,,,
S 241a | A180,800,,,,,,,
S 241a | A180,801,,,,,,,
S 241a | A180,802,,,,,,,
S 241a | A180,803,,,,,,,
S 241a | A180,804,,,,,,,
S 241a | A180,805,,,,,,,
S 241a | A180,806,,,,,,,
S 241a | A180,807,,,,,,,
S 241a | A180,808,,,,,,,
S 241a | A180,809,,,,,,,
S 241a | A180,810,,,,,,,
S 241a | A180,811,,,,,,,
S 241a | A180,812,,,,,,,
S 241a | A180,813,,,,,,,
S 241a | A180,814,,,,,,,
S 241a | A180,815,,,,,,,
S 241a | A180,816,,,,,,,
S 241a | A180,817,,,,,,,
S 241a | A180,818,,,,,,,
S 241a | A180,819,,,,,,,
S 226,820,,,,,,,
S 315,821,,,,,,,
S 311,822,,,,,,,
,823,,,,,,,
,824,,,,,,,
S 322,825,,,,,,,
S 322,826,,,,,,,
,827,,,,,,,
R 568 | S 279 | N10 ,828,,,,,,,
,829,,,,,,,
,830,,,,,,,
,831,,,,,,,
S 107,832,,,,,,,
S 239/1,833,,,,,,,
R 259,834,,,,,,,
R 277,835,,,,,,,
R 277,836,,,,,,,
"R 441,4",837,,,,,,,
R 539,838,,,,,,,
R 539,839,,,,,,,
R 539,840,,,,,,,
R 539,841,,,,,,,
R 539,842,,,,,,,
R 539,843,,,,,,,
R 539,844,,,,,,,
[S 158d],845,,,,,,,
R 100,846,,,,,,,
R 426,847,,,,,,,
S 163a/2,848,,,,,,,
R 16,849,,,,,,,
"R 470
[R 106,9]",850,,,,,,,
R 656 | S 348 | P3,851,,,,,,,
R 593a,854,,,,,,,
"R 163,7",855,,,,,,,
,856,,,,,,,
R 75,857,,,,,,,
[R 592a],858,,,,,,,
R 392,859,,,,,,,
R 490 | S 14 | I5,860,,,,,,,
R 85,861,,,,,,,
"R 238,1 | S 553 | A141",862,,,,,,,
R 607,863,,,,,,,
R 539,864,,,,,,,
R 296 [sic!],865,,,,,,,
R 601,866,,,,,,,
R 649,867,,,,,,,
R 540 | S 70 | L9,868,,,,,,,
[R 388],869,,,,,,,
,870,,,,,,,
R 560/4,871,,,,,,,
R 560/5,872,,,,,,,
R 592a,873,,,,,,,
R 121[1],874,,,,,,,
R 244 | S 559,875,,,,,,,
R 441/6 | S 359/6 | G21/6,876,,,,,,,
R 250 (?),877,,,,,,,
R 454,878,,,,,,,
R 460 | | H10,879,,,,,,,
R 458,880,,,,,,,
R 324/3 | S 598/3 | B55/3,881,,,,,,,
,882,,,,,,,
R 538 | S 350a | L12,883,,,,,,,
,884,,,,,,,
,885,,,,,,,
R 143[b],886,,,,,,,
R 150,887,,,,,,,
R 150/1,888,,,,,,,
R 150/2,889,,,,,,,
R 150/3,890,,,,,,,
R 218,891,,,,,,,
R 218/1,892,,,,,,,
R 218/2,893,,,,,,,
R 460 (E/M H10),894,,,,,,,
(R 211/2) | (S 541/2) | (A103/2) ,895,,,,,,,
R 217/4 | S 547/4 | A72/4,896,,,,,,,
R 617 | S 315 | N 52,897,,,,,,,
R 252 | S 427 | A131,898,,,,,,,
R 252/1 | S 427/1 | A131/1,899,,,,,,,
R 252/2 | S 427/2 | A131/2,900,,,,,,,
R 252/3 | S 427/3 | A131/3,901,,,,,,,
R 252/4 | S 427/4 | A131/4,902,,,,,,,
R 252/5 | S 427/5 | A131/5,903,,,,,,,
R 252/6 | S 427/6 | A131/6,904,,,,,,,
R 252/7 | S 427/7 | A131/7,905,,,,,,,
R 252/8 | S 427/8 | A131/8,906,,,,,,,
R 252/9 | S 427/9 | A131/9,907,,,,,,,
R 14/8 | S 173/8 | A158/8,908,,,,,,,
R 23 | S 179 | A198,909,,,,,,,
R 560/1 | S 90/1 | M31,910,,,,,,,
,911,,,,,,,
R 44 | S 223 | A171,912,,,,,,,
R 455 | S 124 | H4,913,,,,,,,
R | S 307| N18,914,,,,,,,
R 457 | S 126 | H8,915,,,,,,,
R 457 | S 126 | H8,916,,,,,,,
R 457 | S 126 | H8,917,,,,,,,
R 457 | S 126 | H8,918,,,,,,,
R 457 | S 126 | H8,919,,,,,,,
R 457 | S 126 | H8,920,,,,,,,
R 457 | S 126 | H8,921,,,,,,,
R 126(2) | S 389(2) | A177(2),922,,,,,,,
R 60 | S 192 | A233,923,,,,,,,
R 60/1 | S 192/1 | A233,924,,,,,,,
R 60/2 | S 192/2 | A233,925,,,,,,,
R 60/3 | S 192/3 | A233,926,,,,,,,
R 60/4 | S 192/4 | A233,927,,,,,,,
R 228 | S 418 | A90,928,,,,,,,
R 228 | S 418 | A90,929,,,,,,,
R 252/6 | S 427/6 | A131,930,,,,,,,
R 352a | S 634a | B47,931,,,,,,,
R 578b/2 | S 270/2:2,932,,,,,,,
R 10/3 | S 163/3 | A 282,933,,,,,,,
R 167 | S 408 | A231,934,,,,,,,
R 335/2 | S 579/2 | B30,935,,,,,,,
R 402 | S 660 | E5,936,,,,,,,
R 253 | S 566 | A133,937,,,,,,,
R 647 | S 369 | N5,938,,,,,,,
R 591[/3] | S 273[/3] | N5[/3],939,,,,,,,
R 224/2 | S 415/2 | A230,940,,,,,,,
- | S 571a | -,941,,,,,,,
,942,,,,,,,
R 55 | S 523 | A248,943,,,,,,,
R 306 | S 609 | B32,944,,,,,,,
,945,,,,,,,
R 501 | S 35ter | J17,946,,,,,,,
R 501 | S 35ter | J17,947,,,,,,,
R 501 | S 35ter | J17,948,,,,,,,
R 490a | S 14 | I5,949,,,,,,,
R 464a | S 377a | D9,950,,,,,,,
R 464a | S 377a | D9,951,,,,,,,
R 310 | S 608 | B33,952,,,,,,,
,953,,,,,,,
S 757 | S57,954,,,,,,,
R 229 | S 550 | A220,955,,,,,,,
R 229[/1] | S 550[/1] | A220[/1],956,,,,,,,
R 229[/2] | S 550[/2] | A220[/2],957,,,,,,,
R 438 | S 118 | G33,958,,,,,,,
R 261 | S 573 | A258,959,,,,,,,
R 60/5 | S 192/5 | A233,960,,,,,,,
R 296 | S 255 | B48,961,,,,,,,
R 658 | S 350 | P6,962,,,,,,,
R 274 | S 441 | A259,963,,,,,,,
R 71/12 | S 186/12 | A267/12,964,,,,,,,
R 250/2iv | S 425/2iv | A48,965,,,,,,,
R 561 | S 91/1? | M36,966,,,,,,,
R 59(1) | S 191(1) | A 256,967,,,,,,,
R 76 | S 196/195a | A266,968,,,,,,,
R 394/1 | S 669/1 | E27,969,,,,,,,
R 394/1 | S 669/1 | E27/1,970,,,,,,,
R 388 | 187a | E28,971,,,,,,,
- | S 657a/2 | C28,972,,,,,,,
- | S 657a/3 | C29,973,,,,,,,
R 174 | S 495 | A211/2,974,,,,,,,
R 620 | S 327 | N68,975,,,,,,,
"R 176,II | S 496,II | A285,II",976,,,,,,,
"R 176,II | S 496,II | A285,II",977,,,,,,,
"R 176,II | S 496,II | A285,II",978,,,,,,,
R 652 | S 376 | L13,979,,,,,,,
R 494 | S 28 | J13,980,,,,,,,
R 494 | S 28 | J13,981,,,,,,,
R 494 | S 28 | J13,982,,,,,,,
R 66b | S 527 | A299,983,,,,,,,
R 37/1 | S 215/1 | A311/1,984,,,,,,,
R 106/16 | S 244/16 | A132/16,985,,,,,,,
R 492a | S 16(2) | J45,986,,,,,,,
R 45/1 | S 225/1 | A333/1,987,,,,,,,
R 385 | S 266 | E39,988,,,,,,,
R 37/4 | S 215 | A311,989,,,,,,,
R 147 | S 482 | A327,990,,,,,,,
R 144 | S 479 | A265,991,,,,,,,
- | S 166r/2 | -,992,,,,,,,
R 386 | S 265 | E32,993,,,,,,,
S 163:5,994,,,,,,,
R 243/8 | S 558/8 | A42/8,995,,,,,,,
R 60a | S 197a,996,,,,,,,
S 622,997,,,,,,,
S 452,998,,,,,,,
R 60b | S 214a |,999,,,,,,,
R 211a | S 542a | A194,1000,,,,,,,
R 596a | S 281/1 | N11/1,1001,,,,,,,
R 612 | S 320 | N62,1002,,,,,,,
R 606 | S 296 | N31,1003,,,,,,,
,1004,,,,,,,
R 426 | S 109 | G14,1005,,,,,,,
R 429/3 | S 112/3 | G25/3,1006,,,,,,,
R - | S 190a | ME -,1007,,,,,,,
 R - | 306a | N13,1008,,,,,,,
,1009,,,,,,,
,1010,,,,,,,
R 445,1011,,,,,,,
"R 429,Nr. 2",1012,,,,,,,
R 444,1013,,,,,,,
R 444,1014,,,,,,,
"R 441,6",1015,,,,,,,
"R 668 | S 121a | H3
R 32 | S 209 | A32a",1016,,,,,,,
R 668 | S 121a | H3,1017,,,,,,,
R 32 | S 209 | A32a,1018,,,,,,,
,1019,,,,,,,
R 452 | S 121 | H1,1020,,,,,,,
R 457 | S 126/2 | H8,1022,,,,,,,
R 454 | S 122 | H9,1023,,,,,,,
R 452,1024,,,,,,,
,1025,,,,,,,
"R 563,636,215,345 | S 93,340,554,(626)",1026,,,,,,,
"R 224,1 ",1027,,,,,,,
S 223a,1028,,,,,,,
R 480 | S 5 | I1,1029,,,,,,,
R 484 | S 9 | I2,1030,,,,,,,
R 17/2,1031,,,,,,,
"R 105b,13 | S 242,13",1032,,,,,,,
"R 105b,13 | S 242,13",1033,,,,,,,
"R 105b,13 | S 242,13",1034,,,,,,,
"R 105b,13 | S 242,13",1035,,,,,,,
"R 45,2",1036,,,,,,,
R 234,1037,,,,,,,
"R 192,1",1038,,,,,,,
R 345,1039,,,,,,,
"R 106,19",1040,,,,,,,
-,1041,,,,,,,
"[R 3a,4)",1042,,,,,,,
R 635,1043,,,,,,,
,1044,,,,,,,
R 330,1045,,,,,,,
,1046,,,,,,,
R 606,1047,,,,,,,
,1048,,,,,,,
,1049,,,,,,,
,1050,,,,,,,
,1051,,,,,,,
R 2b,1052,,,,,,,
R 2b,1053,,,,,,,
R 2b,1054,,,,,,,
-,1055,,,,,,,
,1056,,,,,,,
,1057,,,,,,,
,1058,,,,,,,
,1059,,,,,,,
,1060,,,,,,,
R 326 | S 600 | B54 [?],1061,,,,,,,
R 367,1062,,,,,,,
R 101/1-3 | S 249 | A143,1063,,,,,,,
R 101/1 | S 249 | A143,1064,,,,,,,
R 101/2 | S 249 | A143,1065,,,,,,,
R 101/3 | S 249 | A143,1066,,,,,,,
R 474,1067,,,,,,,
R 387,1068,,,,,,,
,1069,,,,,,,
,1070,,,,,,,
R 237 | S 552 | A54,1071,,,,,,,
R 541 | S 71 | L11,1072,,,,,,,
R 106 | S 244 | A132,1073,,,,,,,
R 21 | S 178 | A179,1074,,,,,,,
"R 638,6",1075,,,,,,,
R 456 | S 125 | H6,1076,,,,,,,
R 456 | S 125 | H6,1077,,,,,,,
R 456 | S 125 | H6,1078,,,,,,,
R 456 | S 125 | H6,1079,,,,,,,
R 456 | S 125 | H6,1080,,,,,,,
R 456 | S 125 | H6,1081,,,,,,,
R 7 | S 146 | A242,1082,,,,,,,
R 224 | S 414 | A165,1083,,,,,,,
"R 534 | S 53 | J33,B52,E31",1084,,,,,,,
,1085,,,,,,,
S 421a | A13,1086,,,,,,,
R 226,1087,,,,,,,
,1088,,,,,,,
,1089,,,,,,,
R 494 | S 28 | J13,1090,,,,,,,
R 638,1091,,,,,,,
R 638,1092,,,,,,,
R 638,1093,,,,,,,
R 638,1094,,,,,,,
R 638,1095,,,,,,,
R 638,1096,,,,,,,
R 638,1097,,,,,,,
R 638,1098,,,,,,,
R 479,1099,,,,,,,
R (586b) 646,1100,,,,,,,
R (586b) 646,1101,,,,,,,
R 540 | S 70 | L9,1102,,,,,,,
,1103,,,,,,,
,1104,,,,,,,
,1105,,,,,,,
,1106,,,,,,,
,1107,,,,,,,
R 275 | S 442 | A146,1108,,,,,,,
S 576a,1109,,,,,,,
,1110,,,,,,,
R 245 | S 560 | A49,1111,,,,,,,
"R 245,11 | S 560/11 | A49/11",1112,,,,,,,
"R 245,14 | S 560/14 | A49/14",1113,,,,,,,
R 223,1114,,,,,,,
"R 2b,4 | S 139/4 | A172/4",1115,,,,,,,
S 243bis/2 | A60d/2 ,1116,,,,,,,
"R 598, R 599a, R 601, R 596a",1117,,,,,,,
"R 113,1 | S 573a | A297 ",1118,,,,,,,
"R 106,15 | S 244/15 | A132/15",1119,,,,,,,
R 592b | S 275/2 | N8/2,1120,,,,,,,
R 238 | S 553 | A141,1121,,,,,,,
"R 238,2 | S 553/2 | A141/2",1122,,,,,,,
"R 238,1 | S 553/1 | A141/1",1123,,,,,,,
R 381/1 | S 260/1 | E3/1,1124,,,,,,,
,1126,,,,,,,
R 106 | S 244 | A132,1127,,,,,,,
R 641 (499b) | S 680 | K3,1128,,,,,,,
"R 10b,7 | S 161/7 | A 55/7",1129,,,,,,,
S 504a | A287,1130,,,,,,,
S 504a | A287,1132,,,,,,,
S 504a | A287,1133,,,,,,,
S 504a | A287,1134,,,,,,,
R 524 | S 65 | J50,1135,,,,,,,
R 18 | S 176 | S167,1136,,,,,,,
R 536a | S 31 | J15a,1137,,,,,,,
R 536b | S 31 | J15b,1138,,,,,,,
,1139,,,,,,,
R 530 | S 52 | J35,1140,,,,,,,
R 560 | S 90,1141,,,,,,,
"R 560,4 | S 90/4a | M22/1",1142,,,,,,,
"R 560,6 | S 90/6a | M24/1",1143,,,,,,,
"R 560,5 | S 90/5a | M23/1",1144,,,,,,,
R 661 | S 696 | A337,1145,,,,,,,
R 15 | S 170 | A117,1146,,,,,,,
R 74 | S 188 | A300,1147,,,,,,,
R 638 | S 345 | L14,1148,,,,,,,
R 612 | S 320 | N62,1149,,,,,,,
R 578 | S 270 | N14,1150,,,,,,,
"R 560,2 | S 90/2b | M7/2",1151,,,,,,,
"R 560,2 | S 90/2c | M7/3",1152,,,,,,,
"R 506,1 | S 18/1 | J4/5",1153,,,,,,,
"R 506,3 | S 18/3 | J4/2",1154,,,,,,,
"R 506,4 | S 18/4 | J4/3",1155,,,,,,,
R 667 | S 690 | Q1,1156,,,,,,,
R 667 | S 690 | Q1,1157,,,,,,,
R 667 | S 690 | Q1,1158,,,,,,,
R 667 | S 690 | Q1,1159,,,,,,,
R 667 | S 690 | Q1,1160,,,,,,,
R 667 | S 690 | Q1,1161,,,,,,,
R 667 | S 690 | Q1,1162,,,,,,,
"R 211,2 | S 541/2 | A103/3",1163,,,,,,,
"R 662,2 | S 693/2 | Q12/2",1164,,,,,,,
"R 89, R 90 | S 253, S 254 | A114, A195",1165,,,,,,,
R 37 [?] | S 695e | Q21,1166,,,,,,,
R 30 | S 701a | Q2,1167,,,,,,,
R 422 | S 105 | G17,1168,,,,,,,
"R 662,1 | S 693/1 | Q12/1",1169,,,,,,,
R 508 | S 19 | J2,1170,,,,,,,
R 77 | S 197 | A277,1171,,,,,,,
R 666 | S 698 | Q19,1172,,,,,,,
R 425  | S 108  | G12,1173,,,,,,,
R 120 | S 463 | A244,1174,,,,,,,
R 106 | S 244 | A132,1175,,,,,,,
R 90 | S 254 | A195,1176,,,,,,,
R 3a | S 140  | A52,1177,,,,,,,
R 427 | S 110 | G16,1178,,,,,,,
R 489 | S 13/2 | I3,1179,,,,,,,
R 651/3 | S 375 | N63,1180,,,,,,,
R 622 | S 329 |  N70,1181,,,,,,,
R 633 | S 337 | N78,1182,,,,,,,
R 621 | S 328  | N69,1183,,,,,,,
R 671 | S 688 | Q17,1184,,,,,,,
,1185,,,,,,,
R 139 | S 473 | A29,1186,,,,,,,
R 414 | S 97 | G3,1187,,,,,,,
R 487 | S 11 | I9,1188,,,,,,,
R 487 | S 11 | I9,1189,,,,,,,
R 487 | S 11 | I9,1194,,,,,,,
R 6 | S 145 | A218,1195,,,,,,,
R 6 | S 145 | A218,1196,,,,,,,
R 6 | S 145 | A218,1197,,,,,,,
R 455 |S 124 | H4,1198,,,,,,,
R 423 | S 106 | G15,1199,,,,,,,
R 422 |S 105|G17,1200,,,,,,,
R 484 | S 9 | I2,1201,,,,,,,
R 489 | S 13 | I3,1202,,,,,,,
,1203,,,,,,,
,1204,,,,,,,
S 166a,1206,,,,,,,
R 575c | S 288/3 | N7,1207,,,,,,,
R 539 | S 69/1 | L8,1208,,,,,,,
R 592b | S 275/2 | N8/2,1209,,,,,,,
R 592a | S 275/1 | N8/1,1210,,,,,,,
R 592c | S 275/3 | N8/3,1211,,,,,,,
R 592,1212,,,,,,,
R 504,1213,,,,,,,
R 610a | S 306/1 | N46/1,1214,,,,,,,
"R 582a,1; R 582a,2; R 582a,3; R 609a; R 610a; R 579a; R 579b",1215,,,,,,,
"R 582a,1 | S 292a/1 | N32/1/1",1216,,,,,,,
"R 582a,2 | S 292a/12 | N32/1/2",1217,,,,,,,
"R 582a,3 | S 292a/3 | N32/1/3",1218,,,,,,,
R 609a | S 297/1 | N34/1,1219,,,,,,,
R 610a | S 306/1 | N46/1,1220,,,,,,,
R 579a | S 280/1 | N23/1,1221,,,,,,,
R 579b | S 280/bis | N23/2,1222,,,,,,,
R 552,1223,,,,,,,
R 656 | S 348 | P3,1224,,,,,,,
R 656 | S 348 | P3,1225,,,,,,,
R 521 | S 41 | J 26,1226,,,,,,,
R 521a | S 41/1 | J26/1,1227,,,,,,,
R 521b | S 41/2 | J26/2,1228,,,,,,,
R 436 | S 116 | G23,1229,,,,,,,
R 201 (552),1230,,,,,,,
R 497 | S 38 | J24,1231,,,,,,,
R 639 | S 681 | K4,1233,,,,,,,
R 193 | S 504/1 | S 667c | A247/1 | E24 ,1234,,,,,,,
"R 106,1 | S 244/1 | A132/1",1235,,,,,,,
R 579c | S 280/2 | N23/2,1236,,,,,,,
R 614 | S 322 | N60,1237,,,,,,,
R 616 | S 324 | N50,1238,,,,,,,
R 617 | S 315 | N52,1239,,,,,,,
R 613 | S 321 | N59,1240,,,,,,,
R 609b | S 297/2 | N 34/2,1241,,,,,,,
R 521a | S 41/1 | J26,1242,,,,,,,
R 521b | S 41/2 | J26,1243,,,,,,,
R 497 | S 38 | J24,1244,,,,,,,
R 639 | S 681 | K4,1245,,,,,,,
R 193 | S 504/1 | A247/1,1246,,,,,,,
R 611 | S 319 | N58,1247,,,,,,,
R 615 | S 323 | N61,1248,,,,,,,
R 655 | S 347 | P2,1249,,,,,,,
R 655 | S 347 | P2,1250,,,,,,,
R 655 | S 347 | P2,1251,,,,,,,
R 46 | S 224 | A313,1252,,,,,,,
R 607 | S 287/1 | N19/1,1253,,,,,,,
R 607 | S 287/1 | N19/1,1254,,,,,,,
R 607 | S 287/1 | N19/1,1255,,,,,,,
R 608 | S 289/2 | N29/2,1256,,,,,,,
R 608 | S 289/2 | N29/2,1257,,,,,,,
R 608 | S 289/2 | N29/2,1258,,,,,,,
"R 10b,1 | S 161/1 | A 55/1",1259,,,,,,,
"R 10b,3 | S 161/3 | A 55/3",1261,,,,,,,
"R 10b,4 | S 161/4 | A 55/4",1262,,,,,,,
"R 10b,5 | S 161/5 | A 55/5",1263,,,,,,,
"R 10b,6 | S 161/6 | A 55/6",1264,,,,,,,
"R 10b,7 | S 161/7 | A 55/7",1265,,,,,,,
"R 10b,3 | S 161/3 | A 55/3",1266,,,,,,,
R 517 | S 55 | J38,1267,,,,,,,
R 517 | S 55 | J38,1268,,,,,,,
R 527 | S 56 | J37,1269,,,,,,,
R 527 | S 56 | J37,1270,,,,,,,
R 396 | S 670 | E34,1271,,,,,,,
R 527 | S 56 | J37,1272,,,,,,,
R 602 | S 311/1 | N48/1,1273,,,,,,,
R 602 | S 311/1 | N48/1,1274,,,,,,,
R 46,1275,,,,,,,
R 530 | S 52 | J35,1276,,,,,,,
,1278,,,,,,,
,1279,,,,,,,
,1280,,,,,,,
,1281,,,,,,,
,1282,,,,,,,
R 530 | S 52 | J35,1283,,,,,,,
R 590,1284,,,,,,,
E42 [Eckhardt- Mueller],1285,,,,,,,
R 493,1286,,,,,,,
R 493,1287,,,,,,,
R 539,1288,,,,,,,
R 477,1289,,,,,,,
R 477,1290,,,,,,,
R 477,1291,,,,,,,
R 477,1292,,,,,,,
R 477,1293,,,,,,,
R 477,1294,,,,,,,
R 477,1295,,,,,,,
R 477,1296,,,,,,,
R 479,1297,,,,,,,
R 651/4,1298,,,,,,,
R 333,1299,,,,,,,
R [193a],1300,,,,,,,
R 195,1301,,,,,,,
R 648,1302,,,,,,,
R 510b,1303,,,,,,,
R 534 | S 53 | J33,1304,,,,,,,
R 534 | S 53 | J33,1305,,,,,,,
R 576b | S 290/2 | N16/2,1306,,,,,,,
R 575b | S 288/2 | N7/2,1307,,,,,,,
"R 575b | S 288/2 | N7/2
R 600 | S 310 | N20",1308,,,,,,,
R 575b | S 288/2 | N7/2,1309,,,,,,,
R 600 | S 310 | N20,1310,,,,,,,
R 600 | S 310 | N20,1311,,,,,,,
"R 10b,7 | S 161/7 | A55/7",1312,,,,,,,
