WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
R 354 | S 632 | B35,142,,,,,,,
R 354 | S 632 | B35,143,,,,,,,
R 354 | S 632 | B35,144,,,,,,,
R 354 | S 632 | B35,145,,,,,,,
R 354 | S 632 | B35,146,,,,,,,
R 569b | S 281/2 | N11,147,,,,,,,
R 578 | S 270 | N14 ,148,,,,,,,
R 5 | S 144 | A118,149,,,,,,,
R 91 | S 252b | A14,150,,,,,,,
R 564a | S81a | M25,151,,,,,,,
,152,,,,,,,
,153,,,,,,,
,154,,,,,,,
,155,,,,,,,
S 378 | D18,156,,,,,,,
,157,,,,,,,
,158,,,,,,,
R 82 | S 201 | A320,159,,,,,,,
,160,,,,,,,
,161,,,,,,,
R 345,162,,,,,,,
R 77 | S 197 | A277,163,,,,,,,
,164,,,,,,,
R 486 | S 10 | J18,165,,,,,,,
R 3b | S 141 | A173,166,,,,,,,
R 3b | S 141 | A173,167,,,,,,,
R 3b | S 141 | A173,168,,,,,,,
R 3b | S 141 | A173,169,,,,,,,
R 3b | S 141 | A173,170,,,,,,,
R 3b | S 141 | A173,171,,,,,,,
"R 6,1 | S 154/1 | A281/1",172,,,,,,,
"R 6,2 | S 154/2 | A281/2",173,,,,,,,
R 543 | S 73 | M19,174,,,,,,,
R 661 | S 696 | A337,175,,,,,,,
R 661 | S 696 | A337,176,,,,,,,
R 35 | S 212/1 | A84a,177,,,,,,,
R 530 | S 52 | J35,178,,,,,,,
"R 68,1 | S. 183/1 | A216/1",180,,,,,,,
R 69 | S 184 | A229,181,,,,,,,
(R 14) | S 172a/4 | A61/4,182,,,,,,,
R 67 | S 182 | A215,183,,,,,,,
R 57b | S 174 | A186,184,,,,,,,
"R 106,1 | S 244/1 | A132/1",186,,,,,,,
R 663 | S 695 | Q10,187,,,,,,,
R 40 | S 218 | A119,188,,,,,,,
R 294 | S 458 | A51,189,,,,,,,
R 293 | S 413a | A138,190,,,,,,,
R 293 | S 413a | A138,191,,,,,,,
R 161 | S 487 | A110,192,,,,,,,
(R 231) | S 700a | A113,193,,,,,,,
R 660 | S 697 | A90,194,,,,,,,
R 284 | S 451 | A68,195,,,,,,,
R 98 | S 694 | Q8,196,,,,,,,
-,197,,,,,,,
R 89 | S 253 | A169,198,,,,,,,
R 572b | S 284/2 | N25,199,,,,,,,
R 169 | S 409 | A237,200,,,,,,,
R 596a | S 294/1 | N33,201,,,,,,,
R 102 | S 250 | A86,202,,,,,,,
"R 102,1 | S 250/1 | A86/1",203,,,,,,,
"R 102,2 | S 250/2 | A86/2",204,,,,,,,
R 583 | S 302 | N45,205,,,,,,,
R 266 | S 433 | A199,206,,,,,,,
R 272 | S 439 | A200,207,,,,,,,
