edwoca,Name (RD),Name (abweichend),Infos,Art,GND-ID,Name GND
GND,,,,Person,1212397096,"Schwartz, Marie Esperance von"
GND,,,,Person,116885793,"Menter, Sophie"
GND,,,,Person,130234052,"Mihalovich, Ödön"
GND,,,,Person,11705822X,"Mara, La"
GND,,,,Person,1263865151,"Zerembska, Janina"
GND,,,,Person,117315699,"Urspruch, Anton"
GND,,,,Person,101363184,"Mosenthal, Salomon Hermann von"
GND,,,,Person,116560606,"Heckel, Emil"
GND,,,,Person,116955139,"Lessmann, Otto"
GND,,,,Person,116541350,"Erler, Hermann"
GND,,,,Person,116436662,"Remmert, Martha"
GND,,,,Person,116362375,"Ratzenberger, Theodor"
GND,,,,Person,1026035953,"Waldburg-Zeil-Wurzach, Julie von"
GND,,,,Person,116225556,"Bösendorfer, Ludwig"
GND,,,,Person,117408603,"Trefort, Ágoston"
GND,,,,Person,116102403,"Becker, Albert"
GND,,,,Person,118581481,"Metternich-Sándor, Pauline"
GND,,,,Person,101205570,"Kulke, Eduard"
GND,,,,Person,117432997,"Wolkenstein-Trostburg, Marie"
GND,,,,Person,134031385,"Lichnowsky, Karl von"
GND,,,,Person,116381795,"Augusz, Antál"
GND,,,,Person,119324695,"Gérôme, Jean Léon"
GND,,,,Person,116562633,"Heckmann, Marie"
GND,,,,Person,1018555544,"Godebski, Cyprian"
GND,,,,Person,1158815387,"Loë, Franziska Freifrau von"
GND,,,,Person,118744984,"Richter, Hans"
GND,,,,Person,117003077,"Sander, Constantin"
GND,,,,Person,119523884,"Fritzsch, Ernst Wilhelm"
GND,,,,Person,117384933,"Timanoff, Vera"
GND,,,,Person,116406364,"Brandt, Marianne"
GND,,,,Person,11696636X,"Zarębski, Juliusz"
GND,,,,Person,116652357,"Epstein, Julius"
GND,,,,Person,119057077,"Gade, Niels Wilhelm"
GND,,,,Person,117154148,"Loën, August von"
GND,,,,Person,1019648686,"Silbernagl, Johann"
GND,,,,Person,116827475,"Gravina, Blandine von"
GND,,,,Person,134552091,"Weber, Gustav"
GND,,,,Person,116985925,"Zichy, Géza"
GND,,,,Person,119498235,"Wolzogen, Hans von"
GND,,,,Person,117058297,"Noskowski, Zygmunt"
GND,,,,Person,1283576198,"Liszt, Henriette von"
GND,,,,Person,116133783,"Bülow, Maria von"
GND,,,,Person,118717634,"Girardin, Émile de"
GND,,,,Person,1186396555,"Šestakova, Ljudmila Ivanovna"
GND,,,,Person,118661914,"Borodin, Aleksandr Porfirʹevič"
GND,,,,Person,116254343,"Kniese, Julius"
GND,,,,Person,116774940,"Cusins, William"
GND,,,,Person,118600877,"Riemann, Hugo"
GND,,,,Person,128732792,"Borghese, Paolo"
GND,,,,Person,118573632,"Ljadov, Anatolij K."
GND,,,,Person,133694895,"Filippi, Filippo"
GND,,,,Person,116902299,"Scholtz, Hermann"
GND,,,,Person,128794941X,"Ollivier, Daniel"
GND,,,,Person,116120495,"Benfey, Anna"
GND,,,,Person,117194859,"Stade, Friedrich Ludwig Rudolf"
GND,,,,Person,119258021,"Jadassohn, Salomon"
GND,,,,Person,118727508,"Leo XIII., Papst"
GND,,,,Person,1223638901,"Blume-Arends, Charlotte"
GND,,,,Person,119016206,"Gevaert, François-Auguste"
GND,,,,Person,118804375,"Viardot-García, Pauline"
GND,,,,Person,130848409,"Larrey, Hippolyte"
GND,,,,Person,130659428,"Michaelis, Theodor"
GND,,,,Person,1157646913,"Hippeau, Edmond Gabriel"
GND,,,,Person,117107034,"Oesterlein, Nikolaus"
GND,,,,Person,116843470,"Fuchs, Albert"
GND,,,,Person,1072785854,"Táborszky, Ferdinand"
GND,,,,Person,116942037,"Mottl, Felix"
GND,,,,Person,116276940,"Posse, Wilhelm"
GND,,,,Person,116740345,"Götze, Auguste"
GND,,,,Person,133526216,"Podmaniczky, Frigyes"
GND,,,,Person,118652036,"Balakirev, Milij A."
GND,,,,Person,1383216576,"Mercy-Argenteau, Louise de, Comtesse"
GND,,,,Person,118501437,"Albert, Eugen d'"
GND,,,,Person,1194115292,"Wolff, Pierre-Etienne"
GND,,,,Person,1019741201,"Hugo, Adèle"
GND,,,,Person,118506358,"Balzac, Honoré de"
GND,,,,Person,116071478,"Denis, Ferdinand"
GND,,,,Person,116531185,"Ricordi, Giovanni"
GND,,,,Person,119165627,"Filtsch, Carl"
GND,,,,Person,118542192,"Grillparzer, Franz"
GND,,,,Person,117737208,"Fischer, Wilhelm"
GND,,,,Person,11729781X,"Thalberg, Sigismund"
GND,,,,Person,116562706,"Heckmann, Robert"
GND,,,,Person,102425639,"Georg II., Sachsen-Meiningen, Herzog"
GND,,,,Person,116205628,"Planté, Francis"
GND,,,,Person,118587943,"Nietzsche, Friedrich"
GND,,,,Person,117381209,"Wilhelmj, August"
GND,,,,Person,118766325,"Weinwurm, Rudolf"
GND,,,,Person,116781718,"Freund, Robert"
GND,,,,Person,115549331,"Haberl, Franz Xaver"
GND,,,,Person,116567384,"Broglio, Emilio"
GND,,,,Person,118986295,"Wilhelm III., Niederlande, König"
GND,,,,Person,119187795,"Sand, Maurice"
GND,,,,Person,10420849X,"Amelli, Ambrogio"
GND,,,,Person,103787038,"Hellmesberger, Joseph"
GND,,,,Person,116734787,"Manns, August"
GND,,,,Person,142518093,"Gouzien, Armand Charles"
GND,,,,Person,116669314,"Rubinstein, Joseph"
GND,,,,Person,11890745X,"Sgambati, Giovanni"
GND,,,,Person,118601067,"Rimskij-Korsakov, Nikolaj"
GND,,,,Person,117110450,"Scharwenka, Xaver"
GND,,,,Person,116466855,"Ferrazzi, Giuseppe Jacopo"
GND,,,,Person,11667928X,"Helbig, Nadine"
GND,,,,Person,118713248,"Joukovski, Paul von"
GND,,,,Person,123367727,"Delaborde, Élie-Miriam"
GND,,,,Person,130114820,"Brot, Alphonse"
GND,,,,Person,129901261,"Caetani, Onorato"
GND,,,,Person,1148682473,"Hoffbauer, Karl"
GND,,,,Person,116450932,"Reumont, Alfred von"
GND,,,,Person,1312781033,"Saltonstall Greenough, Richard"
GND,,,,Person,1011377616,"Verlat, Michel Marie Charles"
GND,,,,Person,119502526,"Konstantin, Russland, Großfürst"
GND,,,,Person,116038136,"Davidsohn, George"
GND,,,,Person,118955039,"Gautier, Judith"
GND,,,,Person,116553677,"Haynald, Ludwig"
GND,,,,Person,11881740X,"Dumba, Nicolaus"
GND,,,,Person,132766058X,"Graziani-Walter, Carlo"
GND,,,,Person,116186526,"Pinelli, Ettore"
GND,,,,Person,118571516,"Lenbach, Franz von"
GND,,,,Person,1059554496,"Czartoryska, Marcelina"
GND,,,,Person,117183377,"Joseffy, Rafael"
GND,,,,Person,116024992,"Bach, Leonhard Emil"
GND,,,,Person,118762699,"Schuré, Édouard"
GND,,,,Person,118886568,"Benoît, Peter"
GND,,,,Person,116155833,"Gomperz-Bettelheim, Caroline"
GND,,,,Person,116919981,"Guffens, Godfried"
GND,,,,Person,116501316,"Geisler, Paul"
GND,,,,Person,118735268,"Munkácsy, Mihály"
GND,,,,Person,1025683587,"Péchy, Tamás"
GND,,,,Person,118514253,"Brahms, Johannes"
GND,,,,Person,116349158,"Habeneck, François Antoine"
GND,,,,Person,118643738,"Adam, Juliette"
GND,,,,Person,1241768870,"Gravina, Biagio"
GND,,,,Person,118572393,"Lewald, Fanny"
GND,,,,Person,117252360,"Loyson, Hyacinthe"
GND,,,,Person,123315646,"Hébert, Ernest"
GND,,,,Person,1067645187,"Gozlan, Louis-Léon"
GND,,,,Person,116450584,"Reubke, Otto"
GND,,,,Person,123779936,"Froment-Meurice, Francois-Désiré"
GND,,,,Person,118628232,"Wagner, Cosima"
GND,,,,Person,117065390,"Bülow, Daniela von"
GND,,,,Person,117366021,"Wieprecht, Wilhelm"
GND,,,,Geografika,4447067-8,Schloß Kryzanowitz
GND,,,,Geografika,4350289-1,Ettersburg
GND,,,,Geografika,4269960-5,Port Marly
GND,,,,Geografika,4400405-9,Nonnenwerth
GND,,,,Geografika,4003614-5,Augsburg
GND,,,,Geografika,4085313-5,Como
GND,,,,Geografika,4044295-0,Padua
GND,,,,Geografika,4007616-7,Bologna
GND,,,,Geografika,4085644-6,Exeter
GND,,,,Geografika,4046151-8,Pisa
GND,,,,Geografika,4137172-0,Pest (Stadt)
GND,,,,Geografika,4039029-9,Metz
GND,,,,Geografika,4057736-3,Stonehenge
GND,,,,Geografika,4037286-8,Manchester
GND,,,,Geografika,4380740-9,Jelgava
GND,,,,Geografika,4122699-9,London-Mayfair
GND,,,,Geografika,4011446-6,Den Haag
GND,,,,Geografika,4046868-9,Posen
GND,,,,Geografika,4054671-8,Sevilla
GND,,,,Geografika,4086458-3,Cádiz
GND,,,,Geografika,4020965-9,Gibraltar
GND,,,,Geografika,4021985-9,Grenoble
GND,,,,Geografika,4057878-1,Straßburg
GND,,,,Geografika,4011077-1,Darmstadt
GND,,,,Geografika,4116965-7,Rennes
GND,,,,Geografika,5017970-6,Hradec
GND,,,,Geografika,4216369-9,Iaşi
GND,,,,Geografika,63628-9,Czernowitz
GND,,,,Geografika,4446641-9,Galatz
GND,,,,Geografika,4073697-0,Konstantinopel
GND,,,,Geografika,16021989-9,Jelisawetgrad
GND,,,,Geografika,62726-4,Racibórz
GND,,,,Geografika,4036125-1,Löbau
GND,,,,Geografika,2049988-7,Cosel
GND,,,,Geografika,4312779-4,Horsens
GND,,,,Geografika,4497259-3,Callenberg (Coburg)
GND,,,,Geografika,4008715-3,Bückeburg
GND,,,,Geografika,4086311-6,Ballenstedt
GND,,,,Geografika,4004174-8,Badenweiler
GND,,,,Geografika,4059481-6,Teplitz
GND,,,,Geografika,4021652-4,Gotha
GND,,,,Geografika,4011039-4,Danzig
GND,,,,Geografika,4001409-5,Altenburg (Thüringen)
GND,,,,Geografika,4350206-4,Wilhelmsthal
GND,,,,Geografika,4031606-3,Bad Kösen
GND,,,,Geografika,16161590-9,Kiel-Brunswik
GND,,,,Geografika,4038749-5,Merseburg
GND,,,,Geografika,4137173-2,Buda
GND,,,,Geografika,4104512-9,Löwenberg (Schlesien)
GND,,,,Geografika,4049111-0,Bad Reichenhall
GND,,,,Geografika,4468868-4,Monte Mario (Rom)
GND,,,,Geografika,4113206-3,Castel Gandolfo
GND,,,,Geografika,4036733-2,Luzern
GND,,,,Geografika,4417514-0,Grottammare
GND,,,,Geografika,4119118-3,Schloss Wilhelmsthal (Calden)
GND,,,,Geografika,4266804-9,Lamporecchio
GND,,,,Geografika,4105946-3,Schillingsfürst
GND,,,,Geografika,4034502-6,Langenburg
GND,,,,Geografika,4051460-2,Bad Salzungen
GND,,,,Geografika,1049226380,Het Loo
GND,,,,Geografika,4258491-7,Calden
GND,,,,Geografika,4073479-1,Klausenburg
GND,,,,Geografika,1128606291,Székesfehérvár
GND,,,,Geografika,4071988-1,Esztergom
GND,,,,Geografika,4096919-8,Kalocsa
GND,,,,Geografika,4027096-8,Innsbruck
GND,,,,Geografika,4230228-6,Argenteau
GND,,,,Geografika,145461-4,London-Sydenham
GND,,,,Geografika,4036728-9,Luxemburg
GND,,,,Geografika,4126744-8,Camerino
GND,,,,Geografika,4342033-3,Genf-Saint-Gervais
GND,,,,Geografika,4056971-8,Starnberger See
GND,,,,Geografika,4114431-4,Livorno
GND,,,,Geografika,1249692032,Liebenstein
GND,,,,Geografika,4195784-2,Fabriano
GND,,,,Geografika,7742566-2,Sagrado
GND,,,,Geografika,7750851-8,Ell (Luxemburg)
GND,,,,Geografika,4030522-3,Kiew
GND,,,,Geografika,4140569-9,Bellàgio
GND,,,,Geografika,4439077-4,San Rossore
GND,,,,Geografika,510428-2,Laibach
GND,,,,Geografika,4116805-7,Ostende
GND,,,,Geografika,4080492-6,Boulogne-sur-Mer
GND,,,,Geografika,4088156-8,Bourges
GND,,,,Geografika,4020185-5,Genua
GND,,,,Geografika,4060518-8,Toulouse
GND,,,,Geografika,4102905-7,Pau
GND,,,,Geografika,4086984-2,Bayonne
GND,,,,Geografika,4004019-7,Avignon
GND,,,,Geografika,4048487-7,Ratibor
GND,,,,Geografika,4302566-3,Croissy-sur-Seine
GND,,,,Geografika,4213006-2,Lagny
GND,,,,Geografika,4223729-4,Laval (Departement Mayenne)
GND,,,,Geografika,4302561-4,La Châtre
GND,,,,Geografika,4342545-8,Châteauroux
GND,,,,Geografika,4116785-5,Orléans
GND,,,,Geografika,4752566-6,Il Cataio (Battaglia Terme)
GND,,,,Geografika,4385923-9,Richmond (Surrey)
GND,,,,Geografika,4090378-3,Chichester
GND,,,,Geografika,7579607-7,Exmouth
GND,,,,Geografika,4255050-6,Plymouth
GND,,,,Geografika,4093055-5,Fontainebleau
GND,,,,Geografika,4086889-8,Bath
GND,,,,Geografika,4117929-8,Nottingham
GND,,,,Geografika,4115916-0,Peterborough (Cambridgeshire)
GND,,,,Geografika,4042643-9,Norwich
GND,,,,Geografika,4242195-0,Ipswich
GND,,,,Geografika,4221669-2,Chelmsford
GND,,,,Geografika,4008266-0,Brighton
GND,,,,Geografika,1054944458,Solre-le-Château
GND,,,,Geografika,4320970-1,Douvres-la-Délivrande
GND,,,,Geografika,4006934-5,Birmingham
GND,,,,Geografika,4036068-4,Liverpool
GND,,,,Geografika,4116097-6,Preston (Lancashire)
GND,,,,Geografika,4050218-1,Rochdale
GND,,,,Geografika,4118617-5,Sheffield
GND,,,,Geografika,4067205-0,York
GND,,,,Geografika,4013170-1,Dublin
GND,,,,Geografika,4090557-3,Cork
GND,,,,Geografika,4304319-7,Limerick (Shannon)
GND,,,,Geografika,4080332-6,Belfast
GND,,,,Geografika,4021159-9,Glasgow
GND,,,,Geografika,4013557-3,Edinburgh
GND,,,,Geografika,4117860-9,Newcastle-upon-Tyne
GND,,,,Geografika,4074361-5,Lüttich
GND,,,,Geografika,4006510-8,Bielefeld
GND,,,,Geografika,4122605-7,Burg Marienburg (Malbork)
GND,,,,Geografika,4106491-4,Tilsit
GND,,,,Geografika,4012804-0,Dorpat
GND,,,,Geografika,4036483-5,Lübeck
GND,,,,Geografika,4822198-3,Quiévrain
GND,,,,Geografika,4031410-8,Koblenz
GND,,,,Geografika,4062222-8,Utrecht
GND,,,,Geografika,4001783-7,Amsterdam
GND,,,,Geografika,4093614-4,Glogau
GND,,,,Geografika,4055431-4,Solingen
GND,,,,Geografika,2002209-8,Rolandseck
GND,,,,Geografika,7844396-9,Burgruine Rolandseck (Remagen)
GND,,,,Geografika,4012715-1,Donaueschingen
GND,,,,Geografika,4011536-7,Dessau
GND,,,,Geografika,4036862-2,Madrid
GND,,,,Geografika,4107517-1,Valenciennes
GND,,,,Geografika,4240145-8,Hradec nad Moravicí
GND,,,,Geografika,4008858-3,Bukarest
GND,,,,Geografika,4043115-0,Odessa
GND,,,,Geografika,4080375-2,Bernay
GND,,,,Geografika,4074354-8,Lucca
GND,,,,Geografika,4117890-7,Nîmes
GND,,,,Geografika,4021815-6,Granada
GND,,,,Geografika,4062284-8,Valencia
GND,,,,Geografika,4004503-1,Barcelona
GND,,,,Geografika,4054074-1,Sedan
GND,,,,Geografika,4310262-1,Loches
GND,,,,Geografika,4085080-8,Altona
GND,,,,Geografika,4057392-8,Stettin
GND,,,,Geografika,1136158448,Hausneindorf
GND,,,,Geografika,4053950-7,Schwerin
GND,,,,Geografika,4364944-0,"Farmington, Conn."
GND,,,,Geografika,4073791-3,Kreta
GND,,,,Geografika,4087306-7,Berlin-Charlottenburg
GND,,,,Geografika,4067100-8,Bad Wurzach
GND,,,,Geografika,4031563-0,Königswinter
GND,,,,Geografika,1064725279,Neuilly
GND,,,,Geografika,4021912-4,Graz
GND,,,,Geografika,4014087-8,Eisenstadt
GND,,,,Geografika,4041476-0,Neapel
GND,,,,Geografika,4400337-7,Bassano
GND,,,,Geografika,4060459-7,Toronto
GND,,,,Geografika,4044402-8,Palermo
GND,,,,Geografika,4277793-8,Mansfield
GND,,,,Geografika,4085297-0,Colchester
GND,,,,Geografika,4386277-9,Halifax (West Yorkshire)
GND,,,,Geografika,4063142-4,Versailles
GND,,,,Geografika,4050751-8,Rouen
GND,,,,Geografika,4020137-5,Genf
GND,,,,Geografika,4036770-8,Lyon
RD,Landständischer Saal (Wien),,,Geografika,,
RD,Grand Théâtre (Marseille),,,Geografika,,
RD,Hôtel de Ville (Paris) / Salle Saint-Jean,,,Geografika,,
RD,Kärntnerthortheater (Wien),,,Geografika,,
RD,Salle Érard,,,Geografika,,
RD,rue Neuve-Saint-Augustin 23 (Paris),,,Geografika,,
RD,Apollo-Saal (Hamburg),,Salon d'Apollon,Geografika,,
RD,Erste Beethoven-Halle,,,Geografika,,
RD,Englisches Haus (Berlin),,,Geografika,,
RD,Jägerhaus (Weimar),,,Geografika,,
RD,Hotel Weidenbusch (Frankfurt am Main),,Hotel de l’Union,Geografika,,
RD,Opernhaus am Hagenmarkt (Braunschweig),,Herzogliches Hoftheater,Geografika,,
RD,Academy of Music (New York City),,,Geografika,,
RD,Horpacs,,,Geografika,,
RD,Büyükdere,,,Geografika,,
RD,Dáka,,,Geografika,,
RD,Gombo,,,Geografika,,
RD,Voronivtsi,,"Woronińce, Woronince",Geografika,,
RD,Woronino,,,Geografika,,
RD,Bernhardshütte,,,Geografika,,
RD,Drau,,,Geografika,,
RD,Pragersko,,,Geografika,,
RD,Belvedere,,,Geografika,,
RD,Heinrichsau,,,Geografika,,
RD,Carentonne,,,Geografika,,
RD,La Chênaie,,La Chennaie,Geografika,,
RD,Nismes,,,Geografika,,
RD,Bellegarde,,,Geografika,,
RD,Monnetier,,Monnetier-Mornex,Geografika,,
RD,Clifton,,,Geografika,,
RD,Ménil Amelot,,,Geografika,,
RD,Urnach,,,Geografika,,
RD,Schloss Epurény,,,Geografika,,
RD,Khalepa,,,Geografika,,
RD,Gran,,,Geografika,,
RD,Albano,,,Geografika,,
RD,Bade,,,Geografika,,
RD,Schwerstedt,,,Geografika,,
GND,,,,Körperschaft,1005067-X,Gesellschaft der Musikfreunde in Wien
GND,,,,Körperschaft,1326350692,Maurice Schlesinger (Firma)
GND,,,,Körperschaft,117350-9,Albertus-Universität zu Königsberg i. Pr.. Philosophische Fakultät
GND,,,,Körperschaft,107285855X,"J. Schuberth & Comp. (New York, NY)"
GND,,,,Körperschaft,2070980-8,Friedrich Hofmeister Musikverlag
GND,,,,Körperschaft,1073084418,Ferdinand Táborszky (Budapest)
GND,,,,Körperschaft,4357089-6,"Allgemeine Musikzeitung (Berlin, 1885-1943)"
