,MGG (1),MGG (2),MGG (3),Raabe,Searle,Eckhardt-Müller,Werktitel (MGG),Titel des Werks ,Populartitel,Vertonung,Fassung,Version,Titel des untergeordneten Werks,Abteilungen / Akte / Abschnitte,Sammlung 1,Sammlung 2,Tonart,Taktart,Tempoangabe,Besetzung,Text-Incipits,Widmung an,Widmung diplomatisch,Kommentar zur Widmung,Musikalische Vorlage,Komponist,Textvorlage,Textdichter,Vorlage Kunstwerk,Künstler,Lokalitätsbezug,Kompositionszeitraum,"Entstehung und Herausgabe
(Fließtext)",Erstausgabe,Link Notentext EA,Anthologie,Folgeausgaben,UA,Weitere Aufführungen,Konzertberichte,Werkrezensionen,"Verweis auf andere ""Werke""",Briefstellen,Literatur (1),Seite (1),Literatur (2),Seite (2),Literatur (3),Seite (3),Literatur (4),Seite (4),Literatur (5),Seite(5),Neuausgaben,Bearbeiter,Kommentare Bearbeiter,Autographe Entwürfe (1),Link,Kommentar,Autographe Entwürfe (2),Link,Kommentar,Autographe Entwürfe (3),Kommentar,Autograph(e Stichvorlage) (1),Link ,Kommentar,Autograph(e Stichvorlage) (2),Link,Kommentar,Autograph(e Stichvorlage) (3),Link,Kommentar,Autographe Abschrift (1),Link,Kommentar,Autographe Abschrift (2),Link,Kommentar,Autographe Abschrift (3),Kommentar,Autographe Abschrift (4),Kommentar,Drucke mit Eintragungen von Liszts Hand (1),Link,Kommentar,Drucke mit Eintragungen von Liszts Hand (2),Link,Kommentar,"Auktionen, Katalog",Link,Kommentar
,A. Vokalmusik,VI. Lieder,,603/1-2,316,N54,"Muttergottes-Sträußlein zum Mai-Monate (J. Müller): 1 Das Veilchen (Spende, Veilchen, deine Düfte), 2 Die Schlüsselblumen (Dort am grünen Hügel)",Muttergottes-Sträußlein zum Mai-Monate,,,,,,,,,,,,,,,,,,,,,,,,,,"Bln. 1859†, Schlesinger",,,"Lpz. 1860, 1879 (Neuausgabe), Kahnt",,,,,,,,,,,,,,,,,MW vii/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,1) Das Veilchen,,,,Es-Dur,3/4,Andantino,"S, Kl/Harm","Spende, Veilchen, deine Düfte",,,,,,"Das Veilchen / Spende, Veilchen, deine Düfte",[Joseph Müller 117597082],,,,,,,,,,,,,,,,,,,,,,,,,,,UR,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/D 66,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191543,Nur Nr. 1 das Veilchen in Des-Dur; Schrift Grosse und Liszts Handschrift ,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,2) Die Schlüsselblumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,609a,297/1,N34,Wer nie sein Brot mit Tränen aß (Goethe): 1. Vertonung,Wer nie sein Brot mit Tränen aß,,Vertonung 1,,,,,,,e-Moll,3/4,Andante mesto,"Mez, Kl",Wer nie sein Brot mit Tränen aß,,,,,,Wer nie sein Brot mit Tränen aß,[Johann Wolfgang von Goethe 118540238],,,,,,"Wien 1848†, Haslinger",,,"Lpz. 1859 (2. Ausg.), Schlesinger; Lpz. 1860, Kahnt",,,,,,,,,,,,,,,,,MW vii/2,DTie,,A-Wn Mus.Hs.42495,http://data.onb.ac.at/rec/AL00158820 ,,,,,,,D-WRgs GSA 60/D 3,,,,,,,,,D-WRgs GSA 60/D 5,,zeitgenössische Schrift mit Korrekturen von Liszt ,,,,,,,,D-WRgs GSA 60/Dep. H 12d-g,,,,,,,,
,A. Vokalmusik,VI. Lieder,,609b,297/2,N34,Wer nie sein Brot mit Tränen aß (Goethe) 2. Vertonung,Wer nie sein Brot mit Tränen aß,,Vertonung 2,,,,,,,a-Moll,C,"Langsam, mit äußerst starker Empfindung und Betonung","Bar/A, Kl",Wer nie sein Brot mit Tränen aß,,,,,,Wer nie sein Brot mit Tränen aß,[Johann Wolfgang von Goethe 118540238],,,,,,"Lpz. 1860†, Kahnt",,,,,,,,,,,,,,,,,,,,MW vii/3,DTie,,D-WRgs GSA 60/D 75,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191581,,,,,,,,,,,,,,,,D-WRgs GSA 60/D 15,,Schrift Grosse; Korrektur von Liszts Hand ,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,610a,306/1,N46,Über allen Gipfeln ist Ruh' (Goethe): 1. Version,Über allen Gipfeln ist Ruh',,,Version 1,,,,,,E-Dur,C,"Langsam, sehr ruhig","Mezz/T, Kl",Über allen Gipfeln ist Ruh,,,,,,Über allen Gipfeln ist Ruh,[Johann Wolfgang von Goethe 118540238],,,,,,"Wien 1848†, Haslinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/D 4,,Schrift Adolf Stahr ,D-WRgs GSA 60/D 91,,Schrift Peter Raabe,D-WRgs GSA 60/D 5 ,zeitgenössische Schrift mit Korrekturen von Liszt ,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,610b,306/2,N46,Über allen Gipfeln ist Ruh' (Goethe): 2. Version,Über allen Gipfeln ist Ruh',,,Version 2,,,,,,,,,,,,,,,,,,,,,,,"Bln. 1859†, Schlesinger",,,"Lpz. 1860, Kahnt",,,,,,,,,,,,,,,,,MW vii/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/Dep. H 12h,,,,,,,,
,A. Vokalmusik,VI. Lieder,,618a,274/1,N6,"Die Zelle in Nonnenwerth (F. Lichnowsky): 1. Version: Ach, nun taucht die Klosterzelle",Die Zelle in Nonnenwerth,,,Version 1,,,,,,,,Andantino,"Bar, Kl",Ach! nun taucht die Klosterzelle,,,,,,Die Zelle im [/von?] Nonnenwerth,[Felix von Lichnowsky 119002043],,,,,,,,,"K. 1843 (2. Ausgabe), Eck",,,,,"A81, D21",,,,,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/D 94 ,,,,,,,,,D-WRgs GSA 60/D 63 ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191540,2 Abschriften,D-WRgs GSA 60/D 64,,Schrift Raff,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,618b,301b/1,N6,Die Zelle in Nonnenwerth (F. Lichnowsky): 2. Version: En ces lieux tout me parle d'elle (E. Monnier) ,Die Zelle in Nonnenwerth,,,Version 2,,,,,,,,,,,,,,,,En ces lieux tout me parle d’elle,[Étienne Monnier keine GND],,,,,,"P. 1844†, Latte",,,,,,,,,,,,,,,,,,,,"Frits Noske: La mélodie francaise de Berlioz a Duparc, Paris, Amsterdam 1954, S. 268-272.",BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,618c,301b/2,N6,Die Zelle in Nonnenwerth (F. Lichnowsky): 3. Version: Elégie (En ces lieux),Die Zelle in Nonnenwerth,,,Version 3,,,,,,,,,,,,,,,,En ces lieux tout me parle d’elle,[Étienne Monnier keine GND],,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,618b,274/2,N6,"Die Zelle in Nonnenwerth (F. Lichnowsky): 4. Version: Ach, nun taucht die Klosterzelle",Die Zelle in Nonnenwerth,,,Version 4,,,,,,,,,,,,,,,,Die Zelle im [/von?] Nonnenwerth,[Felix von Lichnowsky 119002043],,,,,,"Lpz. 1860†, Kahnt",,,,,,,,,,,,,,,,,,,,MW vii/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,"618b,c",274/2,N6,"Die Zelle in Nonnenwerth (F. Lichnowsky): 5. Version: Ach, nun taucht die Klosterzelle",Die Zelle in Nonnenwerth,,,Version 5,,,,,,,,,,,,,,,,Die Zelle im [/von?] Nonnenwerth,[Felix von Lichnowsky 119002043],,,,,,"Lpz. 1860†, Kahnt",,,,,,,,,,,,,,,,,,,,MW vii/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,638a,301a,N30,"Oh, pourquoi donc (Les pleurs des femmes romance oubliée) (C. Pavloff)",,,,,,,,,,,,,,,,,,,,,,,,,,,"M. 1844†, Grotrian",,,"Lpz. 1878 (rev.), Tonger",,,,,A148,,,,,,,,,,,,MW iii; LSP xiv,,,,,,,,,,,,,D-Bsb N. Mus. Ms. 318 und I-Bil-M-14-15 zu klären welche der beiden Handschriften das Autograph ist ? ,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,644a,683,N57,Serbisches Lied (Ein Mädchen sitzt am Meeresstrand),,,,,,,,,,,,,,,,,,,,,,,,,,,"Stg. O.J.†, Göpel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,644b,685,N47,Es hat geflammt die ganze Nacht (Lied der Großherzogin Maria Pawlowna),Es hat geflammt die ganze Nacht,,,,,,,,,F-Dur,C,,"Singst, Kl",Es hat geflammt die ganze Nacht,,,,Es hat geflammt die ganze Nacht,"[Maria Pawlowna, Sachsen-Weimar, Großherzogin 104304219]",Die Brautnacht / Es hat geflammt die ganze Nacht,[Wilhelm Müller 11858524X],,,,,,,,,-,,,,,,,Szász 2018,,,,,,,,,,,UR,,,,,,,,,,D-WRgs GSA 60/D 69,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191553,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,646,293/1,N37,Jeanne d'Arc au bûcher (A. Dumas): 1. Version,Jeanne d'Arc au bûcher,,,,,,,,,,,,"1 Solo-St., Orch.",,,,Nur die 2.und 3. Version wurde von Liszt orchestriert.,,,,,,,,,,"P. 1846 (1. Version)†, Latte",,,,,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/B 21,,,F-Pn MS-152,https://gallica.bnf.fr/ark:/12148/bpt6k3105927,,,,D-WRgs GSA 60/B 23,,,,,,,,,D-WRgs GSA 60/B 20 ,,Schrift: Conradi; in einer Sammlung mit anderen Vokalwerke von Liszt ,D-WRgs GSA 60/B 21,,Schrift Corandi mit Korrekturen von Liszt; in Sammlung mit weiteren Vokalwerken von Liszt ,H-Bl Ms. mus. L. 80,Abschrift von F-Pn Ms-152; zeitgenössiche Schrift; Version für Singstiimme und Klaver o. Harmonium ,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,651/1-6,375,N63,"Sechs Lieder von Schubert: 1 Die junge Nonne, 2 Gretchen am Spinnrade, 3 Mignons Lied (Kennst du das Land), 4 Erlkönig, 5 Der Doppelgänger, 6 Abschied",Sechs Lieder von Schubert,,,,,,,,,,,,"Singst, Orch",,,,"--> Schubert: Lieder D828 (Nr.1), D118 (Nr.2), D321 (Nr.3), D328 (Nr.4) und D957/13 (Nr.5). Die Vorlage für Nr. 6 ist unbekannt.",,,,,,,,,,"Lpz. 1863†, (Nr.1-4), Nr.5-6, Förberg",,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,H-Bl Ms. mus.L. 38,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,1) Die junge Nonne,,,,f-Moll/F-Dur,12/8,Mäßig (Moderato),,Wie braust durch die Wipfel,,,,"Die junge Nonne, D 828",[Franz Schubert 118610961],Die junge Nonne,[Jakob Nikolaus Craigher 116857218],,,,,,,,,,,,,,,,Saffle 1998,131f.,,,,,,,,,,UR,,F-Pn W-1 (36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,2) Gretchen am Spinnrade,,,,d-Moll,6/8,Non troppo Presto,,Meine Ruh' ist hin,,,,"Gretchen am Spinnrade, D 118",[Franz Schubert 118610961],Meine Ruh' ist hin ,[Johann Wolfgang von Goethe 118540238],,,,,,,,,,,,,,,,Saffle 1998,132,,,,,,,,,,UR,,F-Pn W-1 (38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,3) Mignons Lied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,4) Erlkönig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-BArws Hs 121 A / 4,,Nur die Harfen-Partie von Nr. 4 Erlkönig,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,5) Der Doppelgänger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/Q 6 ,,,,,,,,,"D-LEsta 21069 C.F. Kahnt, Nr.135",,"Schrift: E. Träppler; Nur Orchesterstimmen, Vokalstimme fehlt ",,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,,,,,,,,,,6) Abschied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,VI. Lieder,,deest,deest,deest,Wenn die letzten Sterne bleichen (???) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Mbs Ms. Mus. 23595,http://daten.digitale-sammlungen.de/~db/0001/bsb00010530/images/index.html?id=00010530&groesser=&fip=eayasdaseayawsdaseayayztswyztsqrs&no=5&seite=2,"Erst 2007 in München entdeckt, deswegen in keinem der Werkverzeichnisse vorhanden ",,,,,,,,,,,,,,,,,,,,,,,,,
,B. Opern und Melodramen,,,476,1,O1,"Don Sanche, ou Le château d'amour (Oper, 1 Akt, Mme Théaulon und de Rancé, nach Claris de Florian)","Don Sanche, ou Le château d'amour",,,,,,,,,,,,,,,,,,,,"[Marie-Emmanuel Théaulon de Lambert 104275618], Jacques François de Rancé",Don Sanche ou Le Château d’amour,,,,,,,,-,"UA: Paris, 17.10.1825",,,,,,Gut 2009,580,,,,,,,,,"Paris 1912†, Jean Chantavoine",,,,,,,,,,,A-Wn Mus.Hs.15555 Mus ,http://archiv.onb.ac.at:1801/view/action/nmets.do?DOCCHOICE=4059448.xml&dvs=1459329032825~56&locale=de&search_terms=&adjacency=&VIEWER_URL=/view/action/nmets.do?&DELIVERY_RULE_ID=1&divType=&usePid1=true&usePid2=true,Nur Nr. 19 Marsch und Chor ,A-Wn Mus.Hs.42493 MUS,http://archiv.onb.ac.at:1801/view/action/nmets.do?DOCCHOICE=4059420.xml&dvs=1490265143618~997&locale=de&search_terms=&adjacency=&VIEWER_URL=/view/action/nmets.do?&DELIVERY_RULE_ID=1&divType=&usePid1=true&usePid2=true,Ankauf 1999; Partitur Fragment von zwei Seiten ,,,,F-Pn A 480 (1),https://gallica.bnf.fr/ark:/12148/bpt6k3106012,1. Bd.,F-Pn A 480 (2),https://gallica.bnf.fr/ark:/12148/bpt6k3105940,2. Bd.,F-Pn MAT-92 (1-118),,Stimmenmaterial,,,,,,,,,,
,B. Opern und Melodramen,,,654,346,P1,"Lenore, Ballade mit melodramatischer Pianoforte-Begleitung zur Deklamation (G.A. Bürger)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lpz. 1860†, Kahnt",,,,,,,,,,,,,,,,,,,,MW vii/3,,,,,,,,,,,F-Pn MS-187,http://gallica.bnf.fr/ark:/12148/btv1b550064633,Fragment,,,,,,,D-WRgs GSA 60/G 4 ,,Liszts Handschrift und eine zeitgenössische Schrift ,"D-LEsta 21069 C.F. Kahnt, Nr.103",,Schrift: Franz Woldert; Stichvorlage ,,,,,,,,,,,,,
,B. Opern und Melodramen,,,655,347,P2,Vor hundert Jahren (F. Halm),Vor hundert Jahren,,,,,[mehrere Nummern],,,,[Schluss: Es-Dur],Alla breve,Allegro agitato assai,"1 Solo-St, Orch",Wenn Friedrich und Theresia sich bekämpfen,,,,,,Vor hundert Jahren,[Friedrich Halm 118720074],,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,, ,,,F-Pn MS-160,https://gallica.bnf.fr/ark:/12148/btv1b55007806t,,F-Pn MS-161,https://gallica.bnf.fr/ark:/12148/btv1b55002052b,,,,,D-WRgs GSA 60/G 3,,Schrift: Radeckart mit Korrekturen von Liszt ,H-Bl Ms mus L 014 ,,Schrift: Friedrich Randeckart mit Korrekturen von Liszt ,,,,,,,,,,,,,
,B. Opern und Melodramen,,,656,348,P3,Der traurige Mönch (In Schweden steht ein grauer Turm) (N. Lenau),Der traurige Mönch ,,,,,,,,,(c-Moll),C,Mäßig bewegt,"Sprecher, Kl",In Schweden steht ein grauer Turm,,,,,,Ballade Der traurige Mönch,[Nicolaus Lenau 118571508],,,,Oktober 1860,,"Lpz. 1872†, Kahnt",,,,,,,,,,,,,,,,,,,,MW vii/3,DTie,,,,,,,,,,D-WRgs GSA 60/G 2,,enthält noch zwei Abschriften,,,,,,,D-WRgs GSA 60/G 2,,zeitgenössische Schrift; enthält eine weitere Abschrift und das Autograph von Liszt ,D-WRgs GSA 60/G 2,,zeitgenössische Schrift; enthält eine weitere Abschrift und das Autograph von Liszt ,,,,,,,,,,,,,
,B. Opern und Melodramen,,,657,349,P5,"Des toten Dichters Liebe (Der Hein wiederhallt von der Nachtigall Sang) / A holt költó szerelme (Zeng a liget a csalogány dalain) (M. Jókai, übers. A. Dux)",Des toten Dichters Liebe,,,,,,,,,D-Dur (Beginn) / Es-Dur (Schluss),C,Ziemlich langsam,"Sprecher, Kl",Der Hain widerhallt von der Nachtigall | Zeng a liget a csalogány dalain,,,,,,Des toten Dichters Liebe | A holt költö szerelme,"[Mór Jókai 118985418]
Übersetzer: [Adolf Dux 116259256]",,,,,,"Budapest 1874†, Táborsky & Parsch",,,,,,,,"A249, A279, A335, B50",,,,,,,,,,,,MW vii/3,,,,,,,,,,,D-WRgs GSA 60/G 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. Opern und Melodramen,,,658,350,P6,"Der blinde Sänger, Ballade mit melodramatischer Musik-Begleitung (A. Tolstoy)",,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Petersburg 1877†, Bessel",,,,,,,,,,Auman 1991,13,Chizzali 2017,106–108,,,,,,,MW vii/3,,,,,,,,,,,D-WRgs GSA 60/G 5,,,,,,,,,US-Wc ML96.L58 ,,mit Korrekturen von Liszt ,,,,,,,,H-Bl Ms mus L 032 ,,,,,,,,
,B. Opern und Melodramen,,,659,686,P4,"Helges Treue, Ballade mit melodramatischer Pianoforte-Begleitung zur Deklamation (M. Strachwitz)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hbg. 1874†, Schuberth",,,,,,,,,,,,,,,,,,,,MW vii/3,,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/Z 11,,Schrift: Liszt und Draeseke und eine zeitgenössische Schrift ,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,412,95,G1,"Ce qu'on entend sur la montagne, Sinf. Dichtung nach V. Hugo [""Bergsymphonie""]; 4 Versionen",,,,,,,,,,,,,Orch,,,,,,,,[Victor Hugo 118554654],,,,,,"Lpz. 1857†, B&H",,,,"UA: Weimar, Ende Febr. 1850 (1. Version); 07.01.1857 (endgültige Version)",,,,"B37, C9, E12",,Bonner 1986,100,Gut 1986,73 ,Altenburg 1997,139–140,Bertagnolli 2010/2011,119–131,Arlettaz 2002,56-63,MW i/1,DTie,,D-WRgs GSA 60/N 1,,,,,,,,,,,,,,,,,D-WRgs GSA 60/A 1a,,Schrift: Raff und Liszt ,"D-WRgs GSA 60/A 1b u. 1c
1c ist ein Konvulut mehrerer Skizzenblätter ",,Schrift Raff mit Korrekturen von Liszt,D-WRgs GSA 60/U 4 ,Schrift: Carl Tausig; Bearbeitung für Klavier ,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Ce qu'on entend sur la montagne, Sinf. Dichtung nach V. Hugo [""Bergsymphonie""]; Version 1",,,Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arlettaz 2002,57-61,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Ce qu'on entend sur la montagne, Sinf. Dichtung nach V. Hugo [""Bergsymphonie""]; Version 2",,,Version 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Ce qu'on entend sur la montagne, Sinf. Dichtung nach V. Hugo [""Bergsymphonie""]; Version 3",,,Version 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Ce qu'on entend sur la montagne, Sinf. Dichtung nach V. Hugo [""Bergsymphonie""]; Version 4",,,Version 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arlettaz 2002,62-63,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,413,96,G2,"Tasso: Lamento e trionfo, Sinf. Dichtung nach Goethe und Byron; 4 Versionen",,,,,,,,,,,,,Orch,,,,"Die Ouvertüre wurde später zur Sinfonischen Dichtung umgearbeitet. Sie selbst geht zurück auf Venezia e Napoli (1. Version), Nr. 1: Lento, c.",,,,,,,,,,"Lpz. 1856†, B&H",,,,"UA: Weimar, 28.08.1849 (als Ouvertüre); 19.04.1854 (als Sinf. Dichtung)",,,,"B20, C10",,Gottwald 1982 ,167,Bonner 1986,100,Bozó 2007,72–78,Johns 1985,21–22,Mueller 1986,35,MW i/1,DTie,,D-WRgs GSA 60/N 1,,,US-Wc ML96.L58 ,,,D-WRgs GSA 60/A 2c,,,,"1. Fassung hier noch in Form einer Ouvertüre, aufgeführt zum 100. Geburtstag von Goethe am 28. 8. 1849 in Weimar zusammen mit weitern Kompositionen von Liszt, die auch in dieser Handschrift enthalten sind ",,,,,,,D-WRgs GSA 60/A 2b,,Ouvertüre zu Tasso wahrscheinlich die Fassung vom 1849? Schrift: Raff mit Liszt Korrekturen,D-WRgs GSA 60/A 2a,,Schrift: Raff mit Korrekturen von Liszt; Stichvorlage ,D-WRgs GSA 60/B 22,Schrift: Conrandi und Liszt; in Sammlung mit Vokalwerken Liszts ,D-Ngm Hs 107016 ,"Schrift: Conrandi; instrumentiert von Conrandi; mit Korrekturen von Liszt, 1. Fassung hier noch in Form einer Ouvertüre",,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Tasso: Lamento e trionfo, Sinf. Dichtung nach Goethe und Byron; Version 1",,,Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Tasso: Lamento e trionfo, Sinf. Dichtung nach Goethe und Byron; Version 2",,,Version 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Tasso: Lamento e trionfo, Sinf. Dichtung nach Goethe und Byron; Version 3",,,Version 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,,,,,"Tasso: Lamento e trionfo, Sinf. Dichtung nach Goethe und Byron; Version 4",,,Version 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,414,97,G3,"Les Préludes, Sinf. Dichtung nach A. de Lamartine","Les Préludes, Sinf. Dichtung nach A. de Lamartine",,,,,,,,,,,,Orch,,,,,,,,,,,,,,"Lpz. 1856†, B&H",,,,"UA: Weimar, 23.02.1854",,,,"B12, C11, L2, N44",,Bonner 1986,100–107,,,,,,,..,,MW i/2,DTie,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/A 3a,,Schrift: Hans von Bronsart und Anteile von Liszts Handschrift,D-WRgs GSA 60/3b,,Schrift: Raff mit den Korrekturen von Liszt,D-WRgs GSA 60/3c,Schrift: Raff mit den Korrekturen von Liszt,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,415,98,G9,"Orpheus, Sinf. Dichtung","Orpheus, Sinf. Dichtung",,,,,,,,,,,,Orch,,,,,,,,,,,,,,"Lpz. 1856†, B&H",,,,"UA: Weimar, 16.02.1854 als Introduktion zu Gluck's gleichnamiger Oper; 10.11.1854 als selbstständige Sinf. Dichtung",,,,"B17, C12, E11, W6",,,,,,,,,,,,MW i/2,DTie,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/A 4,,Schrift: Liszt und Raff,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,"I. Symphonische Dichtungen und Programmsymphonien (für Orchester, wenn nicht anders angegeben)",,416,99,G6,"Prometheus, Sinf. Dichtung; 2 Versionen",,,,,,,,,,,,,Orch,,,,,,,,,,,,,,"Lpz. 1856†, B&H",,,,"UA: Weimar, 24.08.1850 (als Ouvertüre); Braunschweig, 18.10.1855 (als Sinf.Dichtung)",,,,"B18, C14",,Bertagnolli 2002a,36–50,Bertagnolli 2003/2005,137–152,Altenburg 2006,122–130,Bertagnolli 2010/2011,119–131,Arlettaz 2002,54-56,MW i/3,DTie,,D-WRgs GSA 60/N 3,,,,,,,,D-WRgs GSA 60/A 5a ,,,,,,,,,D-WRgs GSA 60/A 5b ,,Abschrift von Raff; Titel in Liszts Handschrift,D-WRgs GSA 60/A 5d,,Schrift: Raff mit Korrekturen von Liszt,,,,,D-WRgs GSA 60/A 5c ,,,,,,,,
