,MGG (1),MGG (2),MGG (3),Raabe,Searle,Eckhardt-Müller,Werktitel (MGG),Titel des Werks ,Populartitel,Vertonung,Fassung,Version,Titel des untergeordneten Werks,Abteilungen / Akte / Abschnitte,Sammlung 1,Sammlung 2,Tonart,Taktart,Tempoangabe,Besetzung,Text-Incipits,Widmung an,Widmung diplomatisch,Kommentar zur Widmung,Musikalische Vorlage,Komponist,Textvorlage,Textdichter,Vorlage Kunstwerk,Künstler,Lokalitätsbezug,Kompositionszeitraum,"Entstehung und Herausgabe
(Fließtext)",Erstausgabe,Link Notentext EA,Anthologie,Folgeausgaben,UA,Weitere Aufführungen,Konzertberichte,Werkrezensionen,"Verweis auf andere ""Werke""",Briefstellen,Literatur (1),Seite (1),Literatur (2),Seite (2),Literatur (3),Seite (3),Literatur (4),Seite (4),Literatur (5),Seite(5),Neuausgaben,Bearbeiter,Kommentare Bearbeiter,Autographe Entwürfe (1),Link,Kommentar,Autographe Entwürfe (2),Link,Kommentar,Autographe Entwürfe (3),Kommentar,Autograph(e Stichvorlage) (1),Link ,Kommentar,Autograph(e Stichvorlage) (2),Link,Kommentar,Autograph(e Stichvorlage) (3),Link,Kommentar,Autographe Abschrift (1),Link,Kommentar,Autographe Abschrift (2),Link,Kommentar,Autographe Abschrift (3),Kommentar,Autographe Abschrift (4),Kommentar,Drucke mit Eintragungen von Liszts Hand (1),Link,Kommentar,Drucke mit Eintragungen von Liszts Hand (2),Link,Kommentar,"Auktionen, Katalog",Link,Kommentar
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,9 Et ecce motus magnus (Das Wunder),II Post Epiphaniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,"10 Hosanna, benedictus qui venit (Der Einzug in Jerusalem)",II Post Epiphaniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,11 Tristis est anima mea,III Passio et resurrectio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,12 Stabat Mater dolorosa (Jacopone da Todi),III Passio et resurrectio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,13 O filii et filiae (Hymnus Paschalis),III Passio et resurrectio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,14 Resurrexit!,III Passio et resurrectio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,479,4,I8,Cantico del Sol di San Francesco [d'Assisi]: 1. Version,Cantico del Sol di San Francesco,,,Version 1,,,,,,,,,"Bar, MCh., Orch., Orgel/ (Bar, MCh. ad lib, Kl 2hdg., Orgel/Harm)",,Kardinal Lajos Haynald ,,,,,,,,,,,,-,,,-,"UA: Rom, 23.03.1863",,,,"A219, E14, F2 sowie A301, A307, E35, F2, S59",,,,,,,,,,,,UE ix†,,,H-Bl Ms mus L 078 ,,,,,,,,D-WRgs GSA 60/R 4,,,,,,,,,D-WRgs GSA 60/R 4a,,Rom 25. April 1862; zeitgenössische Schrift mit Korrekturen von Liszt,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,479,4,I8,Cantico del Sol di San Francesco [d'Assisi]: 2. Version,Cantico del Sol di San Francesco,,,Version 2,,,,,,,,,"Bar, MCh., Orch., Orgel",,,,,,,,,,,,,,"Lpz. 1884†, Kahnt",,,-,"UA: Jena, 1877",,,,,,,,,,,,,,,,MW v/5,,,,,,,,,,,D-WRgs GSA 60/B 31,,,,,,,,,D-WRgs GSA 60/Dep. H 4,,zeitgenössische Schrift; Korrekturen von Liszt; 1884 ,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,479,4,I8,"[nicht in MGG, ""neue"" Version ]",Cantico del Sol di San Francesco [Sonnenhymnus],,,Version 3,,,,,,d-Moll / F-Dur,C,"Lento, solenne, largamente","Singst, Kl, Harm","Altissimo, Omnipotente / Erhab'ner Gott, Schöpfer des Weltalls",,,,,,Cantico delle creature,[Franz von Assisi 118534963],,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,"D-LEsta 21069 C. F. Kahnt, Nr. 137",,korrigierte Stichvorlage,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,480,5,I1,"Sainte Cécile (Légende, D. Gay) / Die heilige Cäcilia (Legende, Emilie de Girardin)",Sainte Cécile,,,,,,,,,,,,"Mez, gemCh. ad lib, Orch./Kl (Harm, Hf)",,,,,,,,,,,,,,"Lpz. 1876†, Kahnt",,,-,"UA: Weimar, 17.06.1875",,,,,,Gottwald 1982,172,Eckhardt 1986,30–33,,,,,,,,,,D-Ngm Hs 107023 [1],http://dlib.gnm.de/item/Hs107023-2/6/html,,,,,,,H-Bn Ms.mus. 5.599 , ,unvollständig; nur die erste Hälfte des Werkes; Fragment,A-Wn Mus.Hs.41982,http://data.onb.ac.at/rec/AL00115908,Zweite Hälfte? Vielleicht ein Teil von H-Bn Ms.mus 5.599,,,,D-WRgs GSA 60/Dep. H 6a,,zeitgenössische Schrift mit Korrekturen von Liszt ,D-WRgs GSA 60/Dep. H 6b,,Chorpartitur; zeitgenössische Schrift ,H-Bl Ms mus L 004 ,Schrift: zeitgenössische Schrift mit Korrekturen von Liszt ,,,,,,,,,,,
